index_id,candidate_id,confidence,need_judge
71, best_match: 10571, 5, False
330, best_match: 10830, 5, False
422, best_match: 10922, 5, False
515, best_match: 11015, 5, False
570, best_match: 11070, 5, False
586, best_match: 11086, 5, False
615, best_match: None, 1, True
692, best_match: 11192, 5, False
776, best_match: None, 1, True
907, best_match: None, 1, True
970, best_match: 11470, 5, False
1048, best_match: None, 1, True
1111, best_match: 11611, 5, False
1268, best_match: 11768, 5, False
1358, best_match: 11858, 5, False
1440, best_match: 11940, 5, False
1444, best_match: 11944, 5, False
1605, best_match: 12105, 5, False
1792, best_match: 12292, 5, False
1920, best_match: 12420, 5, False
1945, best_match: 12445, 5, False
1980, best_match: 12480, 5, False
2052, best_match: 12552, 5, False
2124, best_match: 12624, 5, False
2139, best_match: 12639, 5, False
2155, best_match: 12655, 5, False
2212, best_match: 12712, 5, False
2329, best_match: 12829, 5, False
2459, best_match: 12959, 5, False
2463, best_match: 12963, 5, False
2528, best_match: 13028, 5, False
2660, best_match: None, 1, True
2970, best_match: 13470, 5, False
3017, best_match: 13517, 5, False
3052, best_match: 13552, 5, False
3197, best_match: 13697, 5, False
3498, best_match: 13998, 5, False
3816, best_match: 14316, 5, False
3935, best_match: 14435, 5, False
3949, best_match: 14449, 5, False
3960, best_match: 14460, 5, False
4150, best_match: None, 1, True
4228, best_match: 14728, 5, False
4233, best_match: 14733, 5, False
4274, best_match: 14774, 5, False
4282, best_match: 14782, 5, False
4319, best_match: 14819, 5, False
4453, best_match: 14953, 5, False
4498, best_match: 14998, 5, False
