index_id,candidate_id,confidence,need_judge
8,10508,5,False
44,10544,5,False
63,36241,2,True
86,10586,5,False
94,10594,5,False
123,10623,5,False
147,16342,1,True
168,10668,5,False
275,10775,5,False
289,10789,5,False
329,10829,5,False
336,10836,5,False
380,10880,5,False
398,10898,5,False
409,13625,1,True
479,10979,5,False
512,11012,5,False
572,11072,5,False
596,12946,2,True
597,11717,3,True
686,11186,5,False
697,11197,5,False
711,11211,5,False
715,16067,2,True
721,11221,5,False
736,11236,5,False
783,11283,5,False
827,16342,1,True
841,10781,2,True
941,11441,5,False
969,11469,5,False
988,11488,5,False
1009,11509,5,False
1060,11560,5,False
1061,11561,5,False
1063,11563,5,False
1068,18258,3,True
1089,11589,5,False
1107,11607,5,False
1156,11656,5,False
1169,11669,5,False
1217,11717,5,False
1224,11724,5,False
1242,11742,5,False
1270,11770,5,False
1280,10880,3,True
1344,11844,5,False
1368,16031,1,True
1373,10567,1,True
1407,38000,2,True
1438,30709,2,True
1462,11962,5,False
1529,35689,2,True
1553,17288,4,False
1556,12056,5,False
1609,14047,2,True
1644,38555,1,True
1654,36273,2,True
1673,38000,2,True
1694,12194,5,False
1746,12246,5,False
1772,19381,2,True
1855,12355,5,False
1867,12367,5,False
1880,20651,2,True
1894,12394,5,False
1923,12423,5,False
1946,38555,1,True
1951,36105,2,True
1975,37049,2,True
2006,12506,5,False
2022,20915,2,True
2042,37059,2,True
2113,36972,3,True
2158,12658,5,False
2163,12663,5,False
2187,12687,5,False
2196,16342,1,True
2270,12770,5,False
2276,12776,5,False
2325,34709,1,True
2369,12869,5,False
2378,12878,5,False
2380,12880,5,False
2415,12915,5,False
2432,38479,2,True
2515,13015,5,False
2538,13038,5,False
2614,13114,5,False
2669,13169,5,False
2698,13198,5,False
2761,13261,5,False
2847,16031,1,True
2848,13348,5,False
2860,15610,2,True
2875,19492,2,True
2881,13381,5,False
2996,13496,5,False
3016,17407,2,True
3062,13562,5,False
3096,13596,5,False
3126,13626,5,False
3183,20915,2,True
3207,11509,4,True
3271,16342,1,True
3279,15610,2,True
3284,13784,5,False
3288,13788,5,False
3292,12946,2,True
3312,13812,5,False
3333,13833,5,False
3389,13889,5,False
3401,13901,5,False
3457,13957,5,False
3479,13979,5,False
3526,19672,3,True
3540,15068,2,True
3630,14130,5,False
3632,14132,5,False
3688,14188,5,False
3698,14198,5,False
3705,14205,5,False
3719,19064,1,True
3755,14255,5,False
3846,14346,5,False
3893,14393,5,False
3985,14485,5,False
3997,14497,5,False
4037,14537,5,False
4053,14553,5,False
4068,14568,5,False
4073,14573,5,False
4082,14582,5,False
4111,14744,2,True
4129,14629,5,False
4140,35404,3,True
4196,14696,5,False
4250,14750,5,False
4327,14827,5,False
