index_name,index_uri,index_id,index_language,category,candidates_str,num_candidates
Dominique_Strauss-Kahn,http://fr.dbpedia.org/resource/Dominique_Strauss-Kahn,2694,French,Person,"[['Dominique_Strauss-Kahn', 'http://dbpedia.org/resource/Dominique_Strauss-Kahn', 13194, 'English'], ['Leo_Strauss', 'http://dbpedia.org/resource/Leo_Strauss', 12244, 'English'], ['Claude_Lévi-Strauss', 'http://dbpedia.org/resource/Claude_Lévi-Strauss', 37806, 'English'], ['Dominique_Perben', 'http://dbpedia.org/resource/Dominique_Perben', 12681, 'English'], ['Franz_Josef_Strauss', 'http://dbpedia.org/resource/Franz_Josef_Strauss', 11763, 'English'], ['Claude_Wagner', 'http://dbpedia.org/resource/Claude_Wagner', 32914, 'English'], ['Charles_Michel', 'http://dbpedia.org/resource/Charles_Michel', 37133, 'English'], ['Jean-Jacques_Goldman', 'http://dbpedia.org/resource/Jean-Jacques_Goldman', 15156, 'English'], ['Leonard_Cohen', 'http://dbpedia.org/resource/Leonard_Cohen', 16813, 'English'], ['Claude_Bernard', 'http://dbpedia.org/resource/Claude_Bernard', 33245, 'English'], ['Laurent_Schwartz', 'http://dbpedia.org/resource/Laurent_Schwartz', 14477, 'English'], ['Dominique_Bussereau', 'http://dbpedia.org/resource/Dominique_Bussereau', 15933, 'English'], ['Richard_Appel', 'http://dbpedia.org/resource/Richard_Appel', 33649, 'English'], ['Laurent-Olivier_David', 'http://dbpedia.org/resource/Laurent-Olivier_David', 38459, 'English'], ['René_Mayer', 'http://dbpedia.org/resource/René_Mayer', 19463, 'English'], ['Maurice_Roy', 'http://dbpedia.org/resource/Maurice_Roy', 18663, 'English'], ['Jean-Jacques_Bertrand', 'http://dbpedia.org/resource/Jean-Jacques_Bertrand', 13753, 'English'], ['Louis_Michel', 'http://dbpedia.org/resource/Louis_Michel', 14588, 'English'], ['Bernard_Landry', 'http://dbpedia.org/resource/Bernard_Landry', 13182, 'English'], ['Dominique_Anglade', 'http://dbpedia.org/resource/Dominique_Anglade', 15163, 'English']]",20
Rick_Nowels,http://fr.dbpedia.org/resource/Rick_Nowels,2699,French,Person,"[['Rick_Nowels', 'http://dbpedia.org/resource/Rick_Nowels', 13199, 'English'], ['Rick_Tocchet', 'http://dbpedia.org/resource/Rick_Tocchet', 19810, 'English'], ['Rick_Rubin', 'http://dbpedia.org/resource/Rick_Rubin', 11867, 'English'], ['Rick_Bartolucci', 'http://dbpedia.org/resource/Rick_Bartolucci', 36965, 'English'], ['Rick_Snyder', 'http://dbpedia.org/resource/Rick_Snyder', 19824, 'English'], ['Rick_Ross', 'http://dbpedia.org/resource/Rick_Ross', 35959, 'English'], ['Rick_Perry', 'http://dbpedia.org/resource/Rick_Perry', 19268, 'English'], ['Rick_DiPietro', 'http://dbpedia.org/resource/Rick_DiPietro', 32855, 'English'], ['Rick_Riordan', 'http://dbpedia.org/resource/Rick_Riordan', 31456, 'English'], ['Rick_Scott', 'http://dbpedia.org/resource/Rick_Scott', 35086, 'English'], ['Slick_Rick', 'http://dbpedia.org/resource/Slick_Rick', 13835, 'English'], ['Rick_Nash', 'http://dbpedia.org/resource/Rick_Nash', 17086, 'English'], ['Rick_Dudley', 'http://dbpedia.org/resource/Rick_Dudley', 11521, 'English'], ['Rick_Davies', 'http://dbpedia.org/resource/Rick_Davies', 19884, 'English'], ['Rick_Bowness', 'http://dbpedia.org/resource/Rick_Bowness', 19947, 'English'], ['Rick_Carlisle', 'http://dbpedia.org/resource/Rick_Carlisle', 16069, 'English'], ['Rick_Jones_(comics)', 'http://dbpedia.org/resource/Rick_Jones_(comics)', 19948, 'English'], ['Steve_Perry', 'http://dbpedia.org/resource/Steve_Perry', 12824, 'English'], ['Joe_Perry_(musician)', 'http://dbpedia.org/resource/Joe_Perry_(musician)', 16839, 'English'], ['Tim_Drake', 'http://dbpedia.org/resource/Tim_Drake', 20559, 'English']]",20
Chad_Smith,http://fr.dbpedia.org/resource/Chad_Smith,2701,French,Person,"[['Chad_Smith', 'http://dbpedia.org/resource/Chad_Smith', 13201, 'English'], ['Chad', 'http://dbpedia.org/resource/Chad', 31956, 'English'], ['Adrian_Smith', 'http://dbpedia.org/resource/Adrian_Smith', 15185, 'English'], ['Brent_Smith', 'http://dbpedia.org/resource/Brent_Smith', 13062, 'English'], ['Adam_Smith', 'http://dbpedia.org/resource/Adam_Smith', 11781, 'English'], ['Brian_Wilson', 'http://dbpedia.org/resource/Brian_Wilson', 17323, 'English'], ['Robert_Smith_(musician)', 'http://dbpedia.org/resource/Robert_Smith_(musician)', 14166, 'English'], ['Sam_Smith_(singer)', 'http://dbpedia.org/resource/Sam_Smith_(singer)', 16999, 'English'], ['Kevin_Johnson', 'http://dbpedia.org/resource/Kevin_Johnson', 11118, 'English'], ['Brian_Jones', 'http://dbpedia.org/resource/Brian_Jones', 36200, 'English'], ['Joseph_Taylor_Robinson', 'http://dbpedia.org/resource/Joseph_Taylor_Robinson', 35563, 'English'], ['Brian_Marshall', 'http://dbpedia.org/resource/Brian_Marshall', 18329, 'English'], ['Andrew_Johnson', 'http://dbpedia.org/resource/Andrew_Johnson', 19346, 'English'], ['Joe_Smith_(basketball)', 'http://dbpedia.org/resource/Joe_Smith_(basketball)', 15091, 'English'], ['John_Jones_Ross', 'http://dbpedia.org/resource/John_Jones_Ross', 13168, 'English'], ['Patti_Smith', 'http://dbpedia.org/resource/Patti_Smith', 18092, 'English'], ['Kevin_Moore', 'http://dbpedia.org/resource/Kevin_Moore', 38986, 'English'], ['Daniel_Johnson,_Jr.', 'http://dbpedia.org/resource/Daniel_Johnson,_Jr.', 18032, 'English'], ['Andrew_Jackson', 'http://dbpedia.org/resource/Andrew_Jackson', 35515, 'English'], ['Jimmy_Smith_(musician)', 'http://dbpedia.org/resource/Jimmy_Smith_(musician)', 31572, 'English']]",20
Enrico_Fermi,http://fr.dbpedia.org/resource/Enrico_Fermi,2702,French,Person,"[['Enrico_Fermi', 'http://dbpedia.org/resource/Enrico_Fermi', 13202, 'English'], ['Enrico_Letta', 'http://dbpedia.org/resource/Enrico_Letta', 15302, 'English'], ['Paolo_Nespoli', 'http://dbpedia.org/resource/Paolo_Nespoli', 16544, 'English'], ['Giuseppe_Saragat', 'http://dbpedia.org/resource/Giuseppe_Saragat', 13059, 'English'], ['Paolo_Gentiloni', 'http://dbpedia.org/resource/Paolo_Gentiloni', 33344, 'English'], ['Vittorio_Emanuele_Orlando', 'http://dbpedia.org/resource/Vittorio_Emanuele_Orlando', 15365, 'English'], [""Massimo_D'Alema"", ""http://dbpedia.org/resource/Massimo_D'Alema"", 20356, 'English'], ['Luigi_Einaudi', 'http://dbpedia.org/resource/Luigi_Einaudi', 17560, 'English'], ['Galileo_Galilei', 'http://dbpedia.org/resource/Galileo_Galilei', 37666, 'English'], ['Giuseppe_Bertello', 'http://dbpedia.org/resource/Giuseppe_Bertello', 30685, 'English'], ['Stadio_San_Paolo', 'http://dbpedia.org/resource/Stadio_San_Paolo', 14460, 'English'], ['Mauro_Baldi', 'http://dbpedia.org/resource/Mauro_Baldi', 12926, 'English'], ['Giuseppe_Caprio', 'http://dbpedia.org/resource/Giuseppe_Caprio', 35642, 'English'], ['Mario_Monti', 'http://dbpedia.org/resource/Mario_Monti', 16926, 'English'], ['Filippo_Tamagnini', 'http://dbpedia.org/resource/Filippo_Tamagnini', 14894, 'English'], ['Pietro_Badoglio', 'http://dbpedia.org/resource/Pietro_Badoglio', 11579, 'English'], ['Marco_Conti', 'http://dbpedia.org/resource/Marco_Conti', 33239, 'English'], ['Giovanni_Battista_Re', 'http://dbpedia.org/resource/Giovanni_Battista_Re', 31586, 'English'], ['Luigi_Traglia', 'http://dbpedia.org/resource/Luigi_Traglia', 13892, 'English'], ['Pietro_Grasso', 'http://dbpedia.org/resource/Pietro_Grasso', 11290, 'English']]",20
Jozias_van_Aartsen,http://fr.dbpedia.org/resource/Jozias_van_Aartsen,2703,French,Person,"[['Jozias_van_Aartsen', 'http://dbpedia.org/resource/Jozias_van_Aartsen', 13203, 'English'], ['Jacob_van_Zuylen_van_Nijevelt', 'http://dbpedia.org/resource/Jacob_van_Zuylen_van_Nijevelt', 33772, 'English'], ['Gijsbert_van_Tienhoven', 'http://dbpedia.org/resource/Gijsbert_van_Tienhoven', 31352, 'English'], ['Theo_van_Lynden_van_Sandenburg', 'http://dbpedia.org/resource/Theo_van_Lynden_van_Sandenburg', 33736, 'English'], ['Hans_van_Baalen', 'http://dbpedia.org/resource/Hans_van_Baalen', 30803, 'English'], ['Gijs_van_Lennep', 'http://dbpedia.org/resource/Gijs_van_Lennep', 13980, 'English'], ['Marja_van_Bijsterveldt', 'http://dbpedia.org/resource/Marja_van_Bijsterveldt', 15300, 'English'], ['Van_Morrison', 'http://dbpedia.org/resource/Van_Morrison', 16207, 'English'], ['Van_Halen', 'http://dbpedia.org/resource/Van_Halen', 18317, 'English'], ['Hans_van_Mierlo', 'http://dbpedia.org/resource/Hans_van_Mierlo', 14275, 'English'], ['Martin_Van_Buren', 'http://dbpedia.org/resource/Martin_Van_Buren', 35516, 'English'], ['Ed_van_Thijn', 'http://dbpedia.org/resource/Ed_van_Thijn', 11597, 'English'], ['Marthinus_van_Schalkwyk', 'http://dbpedia.org/resource/Marthinus_van_Schalkwyk', 15071, 'English'], ['Eddie_Van_Halen', 'http://dbpedia.org/resource/Eddie_Van_Halen', 11694, 'English'], ['Steven_Van_Zandt', 'http://dbpedia.org/resource/Steven_Van_Zandt', 16412, 'English'], ['Achille_Van_Acker', 'http://dbpedia.org/resource/Achille_Van_Acker', 38840, 'English'], ['Anneke_van_Giersbergen', 'http://dbpedia.org/resource/Anneke_van_Giersbergen', 18432, 'English'], ['Dries_van_Agt', 'http://dbpedia.org/resource/Dries_van_Agt', 35877, 'English'], ['Floris_Adriaan_van_Hall', 'http://dbpedia.org/resource/Floris_Adriaan_van_Hall', 20220, 'English'], ['Mike_Van_Ryn', 'http://dbpedia.org/resource/Mike_Van_Ryn', 38287, 'English']]",20
Charles_II_(duc_de_Parme),http://fr.dbpedia.org/resource/Charles_II_(duc_de_Parme),2704,French,Person,"[['Charles_II,_Duke_of_Parma', 'http://dbpedia.org/resource/Charles_II,_Duke_of_Parma', 13204, 'English'], ['Charles_III,_Duke_of_Parma', 'http://dbpedia.org/resource/Charles_III,_Duke_of_Parma', 36397, 'English'], ['Charles_III,_Duke_of_Lorraine', 'http://dbpedia.org/resource/Charles_III,_Duke_of_Lorraine', 32760, 'English'], ['Charles_Emmanuel_II,_Duke_of_Savoy', 'http://dbpedia.org/resource/Charles_Emmanuel_II,_Duke_of_Savoy', 18249, 'English'], ['Charles_IV,_Duke_of_Lorraine', 'http://dbpedia.org/resource/Charles_IV,_Duke_of_Lorraine', 13638, 'English'], ['Philip_II,_Duke_of_Savoy', 'http://dbpedia.org/resource/Philip_II,_Duke_of_Savoy', 16083, 'English'], ['Charles_II_of_Naples', 'http://dbpedia.org/resource/Charles_II_of_Naples', 38809, 'English'], ['Charles_III_of_Naples', 'http://dbpedia.org/resource/Charles_III_of_Naples', 36947, 'English'], ['John_II,_Duke_of_Brittany', 'http://dbpedia.org/resource/John_II,_Duke_of_Brittany', 31670, 'English'], ['Francis_II,_Duke_of_Brittany', 'http://dbpedia.org/resource/Francis_II,_Duke_of_Brittany', 30334, 'English'], ['Robert_I,_Duke_of_Parma', 'http://dbpedia.org/resource/Robert_I,_Duke_of_Parma', 14108, 'English'], ['Robert_II,_Duke_of_Burgundy', 'http://dbpedia.org/resource/Robert_II,_Duke_of_Burgundy', 11736, 'English'], ['Richard_II,_Duke_of_Normandy', 'http://dbpedia.org/resource/Richard_II,_Duke_of_Normandy', 31542, 'English'], ['Duke_of_Parma', 'http://dbpedia.org/resource/Duke_of_Parma', 17527, 'English'], ['John_IV,_Duke_of_Brabant', 'http://dbpedia.org/resource/John_IV,_Duke_of_Brabant', 30176, 'English'], ['Peter_II,_Duke_of_Brittany', 'http://dbpedia.org/resource/Peter_II,_Duke_of_Brittany', 31481, 'English'], ['Henry_III,_Duke_of_Brabant', 'http://dbpedia.org/resource/Henry_III,_Duke_of_Brabant', 34896, 'English'], ['Charles_V,_Duke_of_Lorraine', 'http://dbpedia.org/resource/Charles_V,_Duke_of_Lorraine', 15231, 'English'], ['Geoffrey_II,_Duke_of_Brittany', 'http://dbpedia.org/resource/Geoffrey_II,_Duke_of_Brittany', 34868, 'English'], ['John_IV,_Duke_of_Brittany', 'http://dbpedia.org/resource/John_IV,_Duke_of_Brittany', 16563, 'English']]",20
Richard_Lintner,http://fr.dbpedia.org/resource/Richard_Lintner,2710,French,Person,"[['Richard_Lintner', 'http://dbpedia.org/resource/Richard_Lintner', 13210, 'English'], ['Richard_Rorty', 'http://dbpedia.org/resource/Richard_Rorty', 18408, 'English'], ['Richard_Riley', 'http://dbpedia.org/resource/Richard_Riley', 18170, 'English'], ['Richard_Manuel', 'http://dbpedia.org/resource/Richard_Manuel', 33276, 'English'], ['Richard_Hawley', 'http://dbpedia.org/resource/Richard_Hawley', 30207, 'English'], ['Richard_Mastracchio', 'http://dbpedia.org/resource/Richard_Mastracchio', 15397, 'English'], ['Richard_Dawkins', 'http://dbpedia.org/resource/Richard_Dawkins', 16056, 'English'], ['Richard_Seddon', 'http://dbpedia.org/resource/Richard_Seddon', 35702, 'English'], ['Richard_Nixon', 'http://dbpedia.org/resource/Richard_Nixon', 12280, 'English'], ['Richard_Kleindienst', 'http://dbpedia.org/resource/Richard_Kleindienst', 11714, 'English'], [""Richard_O'Connor"", ""http://dbpedia.org/resource/Richard_O'Connor"", 17343, 'English'], ['Richard_Edmund_Lyng', 'http://dbpedia.org/resource/Richard_Edmund_Lyng', 17577, 'English'], ['Richard_Feynman', 'http://dbpedia.org/resource/Richard_Feynman', 16619, 'English'], ['Richard_Olney', 'http://dbpedia.org/resource/Richard_Olney', 12013, 'English'], ['Richard_Marx', 'http://dbpedia.org/resource/Richard_Marx', 11602, 'English'], ['Richard_Holbrooke', 'http://dbpedia.org/resource/Richard_Holbrooke', 34523, 'English'], ['Richard_von_Weizsäcker', 'http://dbpedia.org/resource/Richard_von_Weizsäcker', 18330, 'English'], ['Robert_John_%22Mutt%22_Lange', 'http://dbpedia.org/resource/Robert_John_%22Mutt%22_Lange', 36530, 'English'], ['Richard_Ashcroft', 'http://dbpedia.org/resource/Richard_Ashcroft', 38959, 'English'], ['Richard_Wright_(musician)', 'http://dbpedia.org/resource/Richard_Wright_(musician)', 16420, 'English']]",20
William_P._Rogers,http://fr.dbpedia.org/resource/William_P._Rogers,2712,French,Person,"[['William_P._Rogers', 'http://dbpedia.org/resource/William_P._Rogers', 13212, 'English'], ['William_P._Clark,_Jr.', 'http://dbpedia.org/resource/William_P._Clark,_Jr.', 36896, 'English'], ['William_P._Barr', 'http://dbpedia.org/resource/William_P._Barr', 18944, 'English'], ['G._William_Miller', 'http://dbpedia.org/resource/G._William_Miller', 10833, 'English'], ['James_P._McGranery', 'http://dbpedia.org/resource/James_P._McGranery', 35856, 'English'], ['William_T._Barry', 'http://dbpedia.org/resource/William_T._Barry', 13863, 'English'], ['William_D._Mitchell', 'http://dbpedia.org/resource/William_D._Mitchell', 18813, 'English'], ['William_H._Crawford', 'http://dbpedia.org/resource/William_H._Crawford', 12000, 'English'], ['William_Bennett', 'http://dbpedia.org/resource/William_Bennett', 14857, 'English'], ['William_J._Duane', 'http://dbpedia.org/resource/William_J._Duane', 36710, 'English'], ['Alexander_P._Stewart', 'http://dbpedia.org/resource/Alexander_P._Stewart', 19345, 'English'], ['William_R._King', 'http://dbpedia.org/resource/William_R._King', 16298, 'English'], ['James_R._Thompson', 'http://dbpedia.org/resource/James_R._Thompson', 31441, 'English'], ['Thomas_P._Stafford', 'http://dbpedia.org/resource/Thomas_P._Stafford', 19832, 'English'], ['Joseph_P._Kennedy,_Sr.', 'http://dbpedia.org/resource/Joseph_P._Kennedy,_Sr.', 20870, 'English'], ['William_Alexander_Richardson', 'http://dbpedia.org/resource/William_Alexander_Richardson', 18299, 'English'], ['George_P._Shultz', 'http://dbpedia.org/resource/George_P._Shultz', 17789, 'English'], ['William_Hall-Jones', 'http://dbpedia.org/resource/William_Hall-Jones', 15974, 'English'], ['William_French_Smith', 'http://dbpedia.org/resource/William_French_Smith', 16870, 'English'], ['Thomas_G._Jones', 'http://dbpedia.org/resource/Thomas_G._Jones', 31888, 'English']]",20
Jacques_Plante_(hockey_sur_glace),http://fr.dbpedia.org/resource/Jacques_Plante_(hockey_sur_glace),2715,French,Person,"[['Jacques_Martin_(ice_hockey)', 'http://dbpedia.org/resource/Jacques_Martin_(ice_hockey)', 14309, 'English'], ['Claude_Julien_(ice_hockey)', 'http://dbpedia.org/resource/Claude_Julien_(ice_hockey)', 19000, 'English'], ['Paul_MacLean_(ice_hockey)', 'http://dbpedia.org/resource/Paul_MacLean_(ice_hockey)', 12281, 'English'], ['Peter_Schaefer_(ice_hockey)', 'http://dbpedia.org/resource/Peter_Schaefer_(ice_hockey)', 38368, 'English'], ['Paul_Gardner_(ice_hockey)', 'http://dbpedia.org/resource/Paul_Gardner_(ice_hockey)', 15651, 'English'], ['James_Patrick_(ice_hockey)', 'http://dbpedia.org/resource/James_Patrick_(ice_hockey)', 13811, 'English'], ['Chris_Mason_(ice_hockey)', 'http://dbpedia.org/resource/Chris_Mason_(ice_hockey)', 13580, 'English'], ['George_Sullivan_(ice_hockey)', 'http://dbpedia.org/resource/George_Sullivan_(ice_hockey)', 12545, 'English'], ['Richard_Bachman_(ice_hockey)', 'http://dbpedia.org/resource/Richard_Bachman_(ice_hockey)', 15634, 'English'], ['Colin_Fraser_(ice_hockey)', 'http://dbpedia.org/resource/Colin_Fraser_(ice_hockey)', 12276, 'English'], ['Robert_Lang_(ice_hockey)', 'http://dbpedia.org/resource/Robert_Lang_(ice_hockey)', 17910, 'English'], ['Erik_Rasmussen_(ice_hockey)', 'http://dbpedia.org/resource/Erik_Rasmussen_(ice_hockey)', 33996, 'English'], ['Steve_Thomas_(ice_hockey)', 'http://dbpedia.org/resource/Steve_Thomas_(ice_hockey)', 17294, 'English'], ['Joe_Murphy_(ice_hockey)', 'http://dbpedia.org/resource/Joe_Murphy_(ice_hockey)', 17663, 'English'], ['HIFK_(ice_hockey)', 'http://dbpedia.org/resource/HIFK_(ice_hockey)', 35320, 'English'], ['Willie_Mitchell_(ice_hockey)', 'http://dbpedia.org/resource/Willie_Mitchell_(ice_hockey)', 20031, 'English'], ['Joe_Sacco_(ice_hockey)', 'http://dbpedia.org/resource/Joe_Sacco_(ice_hockey)', 17154, 'English'], ['Dave_Cameron_(ice_hockey)', 'http://dbpedia.org/resource/Dave_Cameron_(ice_hockey)', 16492, 'English'], ['Jason_Smith_(ice_hockey)', 'http://dbpedia.org/resource/Jason_Smith_(ice_hockey)', 35990, 'English'], ['Christian_Dubé_(ice_hockey)', 'http://dbpedia.org/resource/Christian_Dubé_(ice_hockey)', 36441, 'English']]",20
Pierre_Moreau_(homme_politique),http://fr.dbpedia.org/resource/Pierre_Moreau_(homme_politique),2718,French,Person,"[['Pierre_Moreau', 'http://dbpedia.org/resource/Pierre_Moreau', 13218, 'English'], ['Jacques_Dupuis_(politician)', 'http://dbpedia.org/resource/Jacques_Dupuis_(politician)', 16970, 'English'], ['Pierre_Guillaumat', 'http://dbpedia.org/resource/Pierre_Guillaumat', 36730, 'English'], ['Pierre_Bérégovoy', 'http://dbpedia.org/resource/Pierre_Bérégovoy', 17747, 'English'], ['Pierre_Frogier', 'http://dbpedia.org/resource/Pierre_Frogier', 15078, 'English'], ['Pierre_Mazeaud', 'http://dbpedia.org/resource/Pierre_Mazeaud', 20873, 'English'], ['Pierre_Pflimlin', 'http://dbpedia.org/resource/Pierre_Pflimlin', 37597, 'English'], ['Pierre_Mignoni', 'http://dbpedia.org/resource/Pierre_Mignoni', 31308, 'English'], ['Pierre-Henri_Teitgen', 'http://dbpedia.org/resource/Pierre-Henri_Teitgen', 19404, 'English'], ['Pierre-Henri_Raphanel', 'http://dbpedia.org/resource/Pierre-Henri_Raphanel', 32938, 'English'], ['Jean-Pierre_Jaussaud', 'http://dbpedia.org/resource/Jean-Pierre_Jaussaud', 17530, 'English'], ['Jean-Pierre_Raffarin', 'http://dbpedia.org/resource/Jean-Pierre_Raffarin', 17398, 'English'], ['Jean-Pierre_Chevènement', 'http://dbpedia.org/resource/Jean-Pierre_Chevènement', 18468, 'English'], ['Jean-Pierre_Dumont', 'http://dbpedia.org/resource/Jean-Pierre_Dumont', 18946, 'English'], ['Saint-Pierre-Baptiste,_Quebec', 'http://dbpedia.org/resource/Saint-Pierre-Baptiste,_Quebec', 31343, 'English'], ['Saint-Pierre,_Quebec', 'http://dbpedia.org/resource/Saint-Pierre,_Quebec', 15508, 'English'], ['Jean-Pierre_Beltoise', 'http://dbpedia.org/resource/Jean-Pierre_Beltoise', 35027, 'English'], ['Jean-Pierre_Jarier', 'http://dbpedia.org/resource/Jean-Pierre_Jarier', 38908, 'English'], ['Jean-Pierre_Jabouille', 'http://dbpedia.org/resource/Jean-Pierre_Jabouille', 14214, 'English'], ['Pierre-Joseph-Olivier_Chauveau', 'http://dbpedia.org/resource/Pierre-Joseph-Olivier_Chauveau', 16123, 'English']]",20
