index_name,index_uri,index_id,index_language,category,candidates_str,num_candidates
Self_Portrait,http://fr.dbpedia.org/resource/Self_Portrait,1,French,creative_work,"[['Self_Portrait_(Bob_Dylan_album)', 'http://dbpedia.org/resource/Self_Portrait_(Bob_Dylan_album)', 10501, 'English'], ['A_Matter_of_Life_and_Death_(album)', 'http://dbpedia.org/resource/A_Matter_of_Life_and_Death_(album)', 36449, 'English'], ['More_Than_a_Woman_(album)', 'http://dbpedia.org/resource/More_Than_a_Woman_(album)', 11420, 'English'], ['God_Put_a_Smile_upon_Your_Face', 'http://dbpedia.org/resource/God_Put_a_Smile_upon_Your_Face', 18572, 'English'], ['In_My_Life', 'http://dbpedia.org/resource/In_My_Life', 33228, 'English'], ['Face_Value_(album)', 'http://dbpedia.org/resource/Face_Value_(album)', 15363, 'English'], ['Happiness_Is_a_Warm_Gun', 'http://dbpedia.org/resource/Happiness_Is_a_Warm_Gun', 33386, 'English'], ['Man_in_the_Mirror', 'http://dbpedia.org/resource/Man_in_the_Mirror', 19025, 'English'], ['My_Aim_Is_True', 'http://dbpedia.org/resource/My_Aim_Is_True', 17816, 'English'], ['The_Colour_of_My_Love', 'http://dbpedia.org/resource/The_Colour_of_My_Love', 39586, 'English'], ['The_Man_with_the_Child_in_His_Eyes', 'http://dbpedia.org/resource/The_Man_with_the_Child_in_His_Eyes', 33596, 'English'], ['Volume_One_(She_&_Him_album)', 'http://dbpedia.org/resource/Volume_One_(She_&_Him_album)', 20172, 'English'], [""I'm_Not_a_Girl,_Not_Yet_a_Woman"", ""http://dbpedia.org/resource/I'm_Not_a_Girl,_Not_Yet_a_Woman"", 20155, 'English'], ['Life_in_Cartoon_Motion', 'http://dbpedia.org/resource/Life_in_Cartoon_Motion', 20773, 'English'], ['Living_Colour', 'http://dbpedia.org/resource/Living_Colour', 13960, 'English'], ['Living_on_My_Own', 'http://dbpedia.org/resource/Living_on_My_Own', 30851, 'English'], ['Killing_Is_My_Business..._and_Business_Is_Good!', 'http://dbpedia.org/resource/Killing_Is_My_Business..._and_Business_Is_Good!', 34729, 'English'], ['Love_of_My_Life_(Queen_song)', 'http://dbpedia.org/resource/Love_of_My_Life_(Queen_song)', 14905, 'English'], ['The_Works_(Queen_album)', 'http://dbpedia.org/resource/The_Works_(Queen_album)', 20636, 'English'], ['A_Day_in_the_Life', 'http://dbpedia.org/resource/A_Day_in_the_Life', 11905, 'English']]",20
Android,http://fr.dbpedia.org/resource/Android,4,French,creative_work,"[['Paranoid_Android', 'http://dbpedia.org/resource/Paranoid_Android', 33507, 'English'], ['IPhone', 'http://dbpedia.org/resource/IPhone', 15190, 'English'], ['Android_(operating_system)', 'http://dbpedia.org/resource/Android_(operating_system)', 10504, 'English'], ['App_Store_(iOS)', 'http://dbpedia.org/resource/App_Store_(iOS)', 19425, 'English'], ['IPad', 'http://dbpedia.org/resource/IPad', 38842, 'English'], ['IOS', 'http://dbpedia.org/resource/IOS', 37861, 'English'], ['Microsoft_Mobile', 'http://dbpedia.org/resource/Microsoft_Mobile', 32480, 'English'], ['Windows_10_Mobile', 'http://dbpedia.org/resource/Windows_10_Mobile', 32880, 'English'], ['Google', 'http://dbpedia.org/resource/Google', 19072, 'English'], ['Windows_Phone', 'http://dbpedia.org/resource/Windows_Phone', 11754, 'English'], ['Google_Play', 'http://dbpedia.org/resource/Google_Play', 33544, 'English'], ['Google_Chrome', 'http://dbpedia.org/resource/Google_Chrome', 13132, 'English'], ['Windows_Update', 'http://dbpedia.org/resource/Windows_Update', 16866, 'English'], ['Microsoft_Lumia', 'http://dbpedia.org/resource/Microsoft_Lumia', 19531, 'English'], ['Nokia', 'http://dbpedia.org/resource/Nokia', 32869, 'English'], ['IPad_Air', 'http://dbpedia.org/resource/IPad_Air', 20917, 'English'], ['Microsoft_Windows', 'http://dbpedia.org/resource/Microsoft_Windows', 35651, 'English'], ['Windows_Store', 'http://dbpedia.org/resource/Windows_Store', 32627, 'English'], ['Linux', 'http://dbpedia.org/resource/Linux', 31268, 'English'], ['Windows_7', 'http://dbpedia.org/resource/Windows_7', 30958, 'English']]",20
Part_II_(On_the_Run),http://fr.dbpedia.org/resource/Part_II_(On_the_Run),5,French,creative_work,"[['Part_II_(On_the_Run)', 'http://dbpedia.org/resource/Part_II_(On_the_Run)', 10505, 'English'], ['Band_on_the_Run', 'http://dbpedia.org/resource/Band_on_the_Run', 33153, 'English'], ['On_the_Third_Day', 'http://dbpedia.org/resource/On_the_Third_Day', 34216, 'English'], ['Man_on_the_Moon:_The_End_of_Day', 'http://dbpedia.org/resource/Man_on_the_Moon:_The_End_of_Day', 14763, 'English'], ['Blood_on_the_Dance_Floor:_HIStory_in_the_Mix', 'http://dbpedia.org/resource/Blood_on_the_Dance_Floor:_HIStory_in_the_Mix', 15416, 'English'], ['Keeper_of_the_Seven_Keys:_Part_II', 'http://dbpedia.org/resource/Keeper_of_the_Seven_Keys:_Part_II', 39575, 'English'], ['Band_on_the_Run_(song)', 'http://dbpedia.org/resource/Band_on_the_Run_(song)', 37859, 'English'], ['American_IV:_The_Man_Comes_Around', 'http://dbpedia.org/resource/American_IV:_The_Man_Comes_Around', 35598, 'English'], ['Wishing_on_the_Same_Star', 'http://dbpedia.org/resource/Wishing_on_the_Same_Star', 33598, 'English'], ['Set_the_Controls_for_the_Heart_of_the_Sun', 'http://dbpedia.org/resource/Set_the_Controls_for_the_Heart_of_the_Sun', 31357, 'English'], ['The_Head_on_the_Door', 'http://dbpedia.org/resource/The_Head_on_the_Door', 18914, 'English'], ['No_Line_on_the_Horizon', 'http://dbpedia.org/resource/No_Line_on_the_Horizon', 11204, 'English'], ['The_Day_the_World_Went_Away', 'http://dbpedia.org/resource/The_Day_the_World_Went_Away', 34020, 'English'], [""The_Writing's_on_the_Wall"", ""http://dbpedia.org/resource/The_Writing's_on_the_Wall"", 17209, 'English'], ['Set_the_Fire_to_the_Third_Bar', 'http://dbpedia.org/resource/Set_the_Fire_to_the_Third_Bar', 33791, 'English'], ['Around_the_World_in_a_Day', 'http://dbpedia.org/resource/Around_the_World_in_a_Day', 39033, 'English'], ['Another_Part_of_Me', 'http://dbpedia.org/resource/Another_Part_of_Me', 31129, 'English'], ['The_Show_Must_Go_On_(Pink_Floyd_song)', 'http://dbpedia.org/resource/The_Show_Must_Go_On_(Pink_Floyd_song)', 31378, 'English'], ['This_Is_the_Last_Time', 'http://dbpedia.org/resource/This_Is_the_Last_Time', 10602, 'English'], ['Run_to_the_Hills', 'http://dbpedia.org/resource/Run_to_the_Hills', 14507, 'English']]",20
I_Feel_for_You_(chanson),http://fr.dbpedia.org/resource/I_Feel_for_You_(chanson),11,French,creative_work,"[['I_Feel_for_You', 'http://dbpedia.org/resource/I_Feel_for_You', 10511, 'English'], ['All_I_Want_for_Christmas_Is_You', 'http://dbpedia.org/resource/All_I_Want_for_Christmas_Is_You', 12152, 'English'], ['I_Feel_You', 'http://dbpedia.org/resource/I_Feel_You', 10675, 'English'], ['Can_You_Feel_It_(The_Jacksons_song)', 'http://dbpedia.org/resource/Can_You_Feel_It_(The_Jacksons_song)', 12884, 'English'], [""I_Was_Made_for_Lovin'_You"", ""http://dbpedia.org/resource/I_Was_Made_for_Lovin'_You"", 19746, 'English'], ['I_Was_Born_to_Love_You_(song)', 'http://dbpedia.org/resource/I_Was_Born_to_Love_You_(song)', 35513, 'English'], ['See_You_(song)', 'http://dbpedia.org/resource/See_You_(song)', 17330, 'English'], ['Oops!..._I_Did_It_Again_(song)', 'http://dbpedia.org/resource/Oops!..._I_Did_It_Again_(song)', 13956, 'English'], [""I_Think_I'm_in_Love_with_You"", ""http://dbpedia.org/resource/I_Think_I'm_in_Love_with_You"", 31539, 'English'], ['I_Will_Always_Love_You', 'http://dbpedia.org/resource/I_Will_Always_Love_You', 32535, 'English'], ['I_Want_to_Know_What_Love_Is', 'http://dbpedia.org/resource/I_Want_to_Know_What_Love_Is', 39111, 'English'], ['What_Do_You_Want_from_Me_(Pink_Floyd_song)', 'http://dbpedia.org/resource/What_Do_You_Want_from_Me_(Pink_Floyd_song)', 14707, 'English'], [""Don't_Be_Stupid_(You_Know_I_Love_You)"", ""http://dbpedia.org/resource/Don't_Be_Stupid_(You_Know_I_Love_You)"", 34118, 'English'], ['The_Way_You_Make_Me_Feel', 'http://dbpedia.org/resource/The_Way_You_Make_Me_Feel', 14787, 'English'], ['I_Feel_So', 'http://dbpedia.org/resource/I_Feel_So', 13774, 'English'], ['Let_It_Be_(song)', 'http://dbpedia.org/resource/Let_It_Be_(song)', 16555, 'English'], ['Before_I_Forget_(song)', 'http://dbpedia.org/resource/Before_I_Forget_(song)', 32062, 'English'], ['I_Want_You_Back', 'http://dbpedia.org/resource/I_Want_You_Back', 20539, 'English'], ['Love_Me_like_You_Do', 'http://dbpedia.org/resource/Love_Me_like_You_Do', 34520, 'English'], ['You_Really_Got_Me', 'http://dbpedia.org/resource/You_Really_Got_Me', 15733, 'English']]",20
All_Hope_Is_Gone,http://fr.dbpedia.org/resource/All_Hope_Is_Gone,12,French,creative_work,"[['All_Hope_Is_Gone', 'http://dbpedia.org/resource/All_Hope_Is_Gone', 10512, 'English'], ['All_Hope_Is_Gone_(song)', 'http://dbpedia.org/resource/All_Hope_Is_Gone_(song)', 39415, 'English'], ['All_We_Know_Is_Falling', 'http://dbpedia.org/resource/All_We_Know_Is_Falling', 18892, 'English'], ['All_You_Need_Is_Love', 'http://dbpedia.org/resource/All_You_Need_Is_Love', 37070, 'English'], ['All_That_I_Need_Is_to_Be_Loved', 'http://dbpedia.org/resource/All_That_I_Need_Is_to_Be_Loved', 38604, 'English'], ['All_She_Wants_Is', 'http://dbpedia.org/resource/All_She_Wants_Is', 20807, 'English'], ['This_Is_All_Yours', 'http://dbpedia.org/resource/This_Is_All_Yours', 39035, 'English'], ['All_I_Want_for_Christmas_Is_You', 'http://dbpedia.org/resource/All_I_Want_for_Christmas_Is_You', 12152, 'English'], ['Come_On_Over_Baby_(All_I_Want_Is_You)', 'http://dbpedia.org/resource/Come_On_Over_Baby_(All_I_Want_Is_You)', 33453, 'English'], ['Is_There_Anybody_Out_There%3F', 'http://dbpedia.org/resource/Is_There_Anybody_Out_There%3F', 34381, 'English'], ['Is_There_Something_I_Should_Know%3F', 'http://dbpedia.org/resource/Is_There_Something_I_Should_Know%3F', 20938, 'English'], ['What_Is_and_What_Should_Never_Be', 'http://dbpedia.org/resource/What_Is_and_What_Should_Never_Be', 30784, 'English'], ['There_Is_Nothing_Left_to_Lose', 'http://dbpedia.org/resource/There_Is_Nothing_Left_to_Lose', 36599, 'English'], ['Mr._Know_It_All', 'http://dbpedia.org/resource/Mr._Know_It_All', 33177, 'English'], ['Bringing_It_All_Back_Home', 'http://dbpedia.org/resource/Bringing_It_All_Back_Home', 14786, 'English'], [""Everybody_Else_Is_Doing_It,_So_Why_Can't_We%3F"", ""http://dbpedia.org/resource/Everybody_Else_Is_Doing_It,_So_Why_Can't_We%3F"", 31470, 'English'], ['Where_Did_All_the_Love_Go%3F', 'http://dbpedia.org/resource/Where_Did_All_the_Love_Go%3F', 16191, 'English'], ['The_Day_That_Never_Comes', 'http://dbpedia.org/resource/The_Day_That_Never_Comes', 11710, 'English'], [""We're_Not_Gonna_Take_It_(The_Who_song)"", ""http://dbpedia.org/resource/We're_Not_Gonna_Take_It_(The_Who_song)"", 32607, 'English'], ['No-One_but_You_(Only_the_Good_Die_Young)', 'http://dbpedia.org/resource/No-One_but_You_(Only_the_Good_Die_Young)', 33681, 'English']]",20
Liste_des_chefs_d'État_centrafricains,http://fr.dbpedia.org/resource/Liste_des_chefs_d'État_centrafricains,14,French,creative_work,"[['List_of_heads_of_state_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_state_of_the_Central_African_Republic', 10514, 'English'], ['List_of_heads_of_government_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_government_of_the_Central_African_Republic', 39237, 'English'], ['List_of_heads_of_state_of_Panama', 'http://dbpedia.org/resource/List_of_heads_of_state_of_Panama', 32369, 'English'], ['List_of_heads_of_state_of_Argentina', 'http://dbpedia.org/resource/List_of_heads_of_state_of_Argentina', 11163, 'English'], ['List_of_heads_of_state_of_Ecuador', 'http://dbpedia.org/resource/List_of_heads_of_state_of_Ecuador', 33428, 'English'], ['List_of_heads_of_state_of_Chad', 'http://dbpedia.org/resource/List_of_heads_of_state_of_Chad', 32617, 'English'], ['List_of_heads_of_government_of_Liechtenstein', 'http://dbpedia.org/resource/List_of_heads_of_government_of_Liechtenstein', 32350, 'English'], ['List_of_heads_of_government_of_Andorra', 'http://dbpedia.org/resource/List_of_heads_of_government_of_Andorra', 17581, 'English'], ['List_of_heads_of_government_of_Burkina_Faso', 'http://dbpedia.org/resource/List_of_heads_of_government_of_Burkina_Faso', 34367, 'English'], ['List_of_Governors_of_Texas', 'http://dbpedia.org/resource/List_of_Governors_of_Texas', 30730, 'English'], ['List_of_Governors_of_Nebraska', 'http://dbpedia.org/resource/List_of_Governors_of_Nebraska', 16904, 'English'], ['List_of_Governors_of_Alabama', 'http://dbpedia.org/resource/List_of_Governors_of_Alabama', 37489, 'English'], ['List_of_Governors_of_Arkansas', 'http://dbpedia.org/resource/List_of_Governors_of_Arkansas', 17077, 'English'], ['List_of_Governors_of_Pennsylvania', 'http://dbpedia.org/resource/List_of_Governors_of_Pennsylvania', 38171, 'English'], ['List_of_Governors_of_Louisiana', 'http://dbpedia.org/resource/List_of_Governors_of_Louisiana', 19525, 'English'], ['List_of_Presidents_of_the_Dominican_Republic', 'http://dbpedia.org/resource/List_of_Presidents_of_the_Dominican_Republic', 33371, 'English'], ['List_of_Presidents_of_Lebanon', 'http://dbpedia.org/resource/List_of_Presidents_of_Lebanon', 37865, 'English'], ['List_of_Presidents_of_Peru', 'http://dbpedia.org/resource/List_of_Presidents_of_Peru', 16089, 'English'], ['List_of_Governors_of_Alaska', 'http://dbpedia.org/resource/List_of_Governors_of_Alaska', 34362, 'English'], ['Head_of_Government_of_Tunisia', 'http://dbpedia.org/resource/Head_of_Government_of_Tunisia', 17823, 'English']]",20
Country_rock,http://fr.dbpedia.org/resource/Country_rock,20,French,creative_work,"[['Country_rock', 'http://dbpedia.org/resource/Country_rock', 10520, 'English'], ['Southern_rock', 'http://dbpedia.org/resource/Southern_rock', 11937, 'English'], ['Country_music', 'http://dbpedia.org/resource/Country_music', 17788, 'English'], ['Country_blues', 'http://dbpedia.org/resource/Country_blues', 12921, 'English'], ['Country_folk', 'http://dbpedia.org/resource/Country_folk', 16525, 'English'], ['Heartland_rock', 'http://dbpedia.org/resource/Heartland_rock', 20134, 'English'], ['Folk_rock', 'http://dbpedia.org/resource/Folk_rock', 20957, 'English'], ['Rock_music', 'http://dbpedia.org/resource/Rock_music', 18577, 'English'], ['Rock_and_Roll_Music', 'http://dbpedia.org/resource/Rock_and_Roll_Music', 13207, 'English'], ['Pop_rock', 'http://dbpedia.org/resource/Pop_rock', 11778, 'English'], ['The_Rock_Show', 'http://dbpedia.org/resource/The_Rock_Show', 37119, 'English'], ['Rock_and_roll', 'http://dbpedia.org/resource/Rock_and_roll', 35262, 'English'], ['Bob_Rock', 'http://dbpedia.org/resource/Bob_Rock', 36377, 'English'], ['Hard_rock', 'http://dbpedia.org/resource/Hard_rock', 11278, 'English'], ['Alternative_rock', 'http://dbpedia.org/resource/Alternative_rock', 14372, 'English'], ['Roots_rock', 'http://dbpedia.org/resource/Roots_rock', 10590, 'English'], ['Rock_and_Roll_Over', 'http://dbpedia.org/resource/Rock_and_Roll_Over', 13756, 'English'], ['Party_Rock', 'http://dbpedia.org/resource/Party_Rock', 18003, 'English'], ['Blues_rock', 'http://dbpedia.org/resource/Blues_rock', 14323, 'English'], ['Instrumental_rock', 'http://dbpedia.org/resource/Instrumental_rock', 13050, 'English']]",20
Dragon_Ball,http://fr.dbpedia.org/resource/Dragon_Ball,22,French,creative_work,"[['Dragon_Ball', 'http://dbpedia.org/resource/Dragon_Ball', 10522, 'English'], ['Dragon_Ball_Super', 'http://dbpedia.org/resource/Dragon_Ball_Super', 16161, 'English'], ['Dragon_Age', 'http://dbpedia.org/resource/Dragon_Age', 16043, 'English'], ['Dwight_Ball', 'http://dbpedia.org/resource/Dwight_Ball', 14501, 'English'], ['Coritiba_Foot_Ball_Club', 'http://dbpedia.org/resource/Coritiba_Foot_Ball_Club', 17193, 'English'], ['Ed_Balls', 'http://dbpedia.org/resource/Ed_Balls', 37345, 'English'], ['A_Dance_with_Dragons', 'http://dbpedia.org/resource/A_Dance_with_Dragons', 38909, 'English'], [""Knight's_Cross_of_the_Iron_Cross"", ""http://dbpedia.org/resource/Knight's_Cross_of_the_Iron_Cross"", 32029, 'English'], ['Playing_the_Angel', 'http://dbpedia.org/resource/Playing_the_Angel', 19563, 'English'], ['Game_Boy', 'http://dbpedia.org/resource/Game_Boy', 19156, 'English'], ['The_Kick_Inside', 'http://dbpedia.org/resource/The_Kick_Inside', 20221, 'English'], ['Black_Hawk_Down_(film)', 'http://dbpedia.org/resource/Black_Hawk_Down_(film)', 30413, 'English'], ['First_Battle_of_Bull_Run', 'http://dbpedia.org/resource/First_Battle_of_Bull_Run', 34903, 'English'], ['Game_Boy_Color', 'http://dbpedia.org/resource/Game_Boy_Color', 13712, 'English'], ['Shoot_the_Runner', 'http://dbpedia.org/resource/Shoot_the_Runner', 16794, 'English'], ['Play_the_Game_(song)', 'http://dbpedia.org/resource/Play_the_Game_(song)', 31753, 'English'], ['By_the_Sword_(song)', 'http://dbpedia.org/resource/By_the_Sword_(song)', 31928, 'English'], ['The_Game_(Queen_album)', 'http://dbpedia.org/resource/The_Game_(Queen_album)', 19195, 'English'], ['Broken_Sword:_The_Shadow_of_the_Templars', 'http://dbpedia.org/resource/Broken_Sword:_The_Shadow_of_the_Templars', 16335, 'English'], ['The_Fame_Monster', 'http://dbpedia.org/resource/The_Fame_Monster', 14679, 'English']]",20
Scots,http://fr.dbpedia.org/resource/Scots,28,French,creative_work,"[['Scots_language', 'http://dbpedia.org/resource/Scots_language', 10528, 'English'], ['Scottish_Gaelic', 'http://dbpedia.org/resource/Scottish_Gaelic', 39084, 'English'], ['Mary,_Queen_of_Scots', 'http://dbpedia.org/resource/Mary,_Queen_of_Scots', 36355, 'English'], ['Scottish_Parliament', 'http://dbpedia.org/resource/Scottish_Parliament', 37128, 'English'], ['Scotland', 'http://dbpedia.org/resource/Scotland', 13220, 'English'], ['Scottish_Premiership', 'http://dbpedia.org/resource/Scottish_Premiership', 12053, 'English'], ['British_Isles', 'http://dbpedia.org/resource/British_Isles', 11383, 'English'], ['Irish_language', 'http://dbpedia.org/resource/Irish_language', 19192, 'English'], ['Welsh_people', 'http://dbpedia.org/resource/Welsh_people', 13044, 'English'], ['Welsh_language', 'http://dbpedia.org/resource/Welsh_language', 18451, 'English'], ['Scottish_Championship', 'http://dbpedia.org/resource/Scottish_Championship', 17288, 'English'], ['Scottish_Cup', 'http://dbpedia.org/resource/Scottish_Cup', 16435, 'English'], ['List_of_Scottish_monarchs', 'http://dbpedia.org/resource/List_of_Scottish_monarchs', 19792, 'English'], ['London_Irish', 'http://dbpedia.org/resource/London_Irish', 17659, 'English'], ['Matilda_of_Scotland', 'http://dbpedia.org/resource/Matilda_of_Scotland', 18021, 'English'], ['Irish_Sea', 'http://dbpedia.org/resource/Irish_Sea', 30942, 'English'], ['Highlanders_(rugby_union)', 'http://dbpedia.org/resource/Highlanders_(rugby_union)', 35494, 'English'], ['British_Army', 'http://dbpedia.org/resource/British_Army', 35614, 'English'], ['Edinburgh_Rugby', 'http://dbpedia.org/resource/Edinburgh_Rugby', 30950, 'English'], ['Scottish_League_Two', 'http://dbpedia.org/resource/Scottish_League_Two', 34249, 'English']]",20
Doin'_It_Right,http://fr.dbpedia.org/resource/Doin'_It_Right,37,French,creative_work,"[[""Everybody_Else_Is_Doing_It,_So_Why_Can't_We%3F"", ""http://dbpedia.org/resource/Everybody_Else_Is_Doing_It,_So_Why_Can't_We%3F"", 31470, 'English'], [""Don't_Think_Twice,_It's_All_Right"", ""http://dbpedia.org/resource/Don't_Think_Twice,_It's_All_Right"", 34069, 'English'], [""(If_You're_Not_in_It_for_Love)_I'm_Outta_Here!"", ""http://dbpedia.org/resource/(If_You're_Not_in_It_for_Love)_I'm_Outta_Here!"", 20541, 'English'], [""If_I_Ain't_Got_You"", ""http://dbpedia.org/resource/If_I_Ain't_Got_You"", 37120, 'English'], ['How_Do_U_Want_It', 'http://dbpedia.org/resource/How_Do_U_Want_It', 31831, 'English'], [""Feelin'_Way_Too_Damn_Good"", ""http://dbpedia.org/resource/Feelin'_Way_Too_Damn_Good"", 31430, 'English'], [""Money_(That's_What_I_Want)"", ""http://dbpedia.org/resource/Money_(That's_What_I_Want)"", 20801, 'English'], [""Can't_Get_It_Out_of_My_Head"", ""http://dbpedia.org/resource/Can't_Get_It_Out_of_My_Head"", 14349, 'English'], ['Do_Ya_(The_Move_song)', 'http://dbpedia.org/resource/Do_Ya_(The_Move_song)', 36622, 'English'], [""Stop_Me_If_You_Think_You've_Heard_This_One_Before"", ""http://dbpedia.org/resource/Stop_Me_If_You_Think_You've_Heard_This_One_Before"", 32302, 'English'], ['Oops!..._I_Did_It_Again_(song)', 'http://dbpedia.org/resource/Oops!..._I_Did_It_Again_(song)', 13956, 'English'], ['Is_There_Anybody_Out_There%3F', 'http://dbpedia.org/resource/Is_There_Anybody_Out_There%3F', 34381, 'English'], ['Things_That_U_Do', 'http://dbpedia.org/resource/Things_That_U_Do', 14791, 'English'], ['Let_It_Be_(song)', 'http://dbpedia.org/resource/Let_It_Be_(song)', 16555, 'English'], ['Shit_on_You', 'http://dbpedia.org/resource/Shit_on_You', 32819, 'English'], [""Doin'_It_Right_(Daft_Punk_song)"", ""http://dbpedia.org/resource/Doin'_It_Right_(Daft_Punk_song)"", 10537, 'English'], [""We're_Not_Gonna_Take_It_(The_Who_song)"", ""http://dbpedia.org/resource/We're_Not_Gonna_Take_It_(The_Who_song)"", 32607, 'English'], [""Let's_Get_It_Started"", ""http://dbpedia.org/resource/Let's_Get_It_Started"", 35997, 'English'], ['Hate_It_or_Love_It', 'http://dbpedia.org/resource/Hate_It_or_Love_It', 15259, 'English'], ['Everything_Is_Wrong', 'http://dbpedia.org/resource/Everything_Is_Wrong', 11981, 'English']]",20
