index_name,index_uri,index_id,index_language,category,candidates_str,num_candidates
Expédition_46_(ISS),http://fr.dbpedia.org/resource/Expédition_46_(ISS),8,French,event,"[['Expedition_46', 'http://dbpedia.org/resource/Expedition_46', 10508, 'English'], ['Expedition_33', 'http://dbpedia.org/resource/Expedition_33', 17678, 'English'], ['Expedition_43', 'http://dbpedia.org/resource/Expedition_43', 18127, 'English'], ['Expedition_38', 'http://dbpedia.org/resource/Expedition_38', 11563, 'English'], ['Expedition_37', 'http://dbpedia.org/resource/Expedition_37', 16077, 'English'], ['Expedition_34', 'http://dbpedia.org/resource/Expedition_34', 13596, 'English'], ['Expedition_41', 'http://dbpedia.org/resource/Expedition_41', 38528, 'English'], ['Expedition_42', 'http://dbpedia.org/resource/Expedition_42', 20275, 'English'], ['Expedition_32', 'http://dbpedia.org/resource/Expedition_32', 38966, 'English'], ['Expedition_44', 'http://dbpedia.org/resource/Expedition_44', 18396, 'English'], ['Expedition_35', 'http://dbpedia.org/resource/Expedition_35', 15138, 'English'], ['Expedition_45', 'http://dbpedia.org/resource/Expedition_45', 17441, 'English'], ['Expedition_40', 'http://dbpedia.org/resource/Expedition_40', 35247, 'English'], ['Expedition_31', 'http://dbpedia.org/resource/Expedition_31', 10979, 'English'], ['Expedition_23', 'http://dbpedia.org/resource/Expedition_23', 37467, 'English'], ['Expedition_28', 'http://dbpedia.org/resource/Expedition_28', 12056, 'English'], ['Expedition_29', 'http://dbpedia.org/resource/Expedition_29', 30465, 'English'], ['Expedition_27', 'http://dbpedia.org/resource/Expedition_27', 18512, 'English'], ['Expedition_17', 'http://dbpedia.org/resource/Expedition_17', 18653, 'English'], ['Expedition_26', 'http://dbpedia.org/resource/Expedition_26', 37811, 'English']]",20
Élections_législatives_grecques_de_juin_2012,http://fr.dbpedia.org/resource/Élections_législatives_grecques_de_juin_2012,44,French,event,"[['Greek_legislative_election,_June_2012', 'http://dbpedia.org/resource/Greek_legislative_election,_June_2012', 10544, 'English'], ['Greek_legislative_election,_2009', 'http://dbpedia.org/resource/Greek_legislative_election,_2009', 37276, 'English'], ['Greek_legislative_election,_September_2015', 'http://dbpedia.org/resource/Greek_legislative_election,_September_2015', 11012, 'English'], ['Greek_legislative_election,_January_2015', 'http://dbpedia.org/resource/Greek_legislative_election,_January_2015', 14255, 'English'], ['Czech_legislative_election,_2013', 'http://dbpedia.org/resource/Czech_legislative_election,_2013', 38068, 'English'], ['Danish_general_election,_2011', 'http://dbpedia.org/resource/Danish_general_election,_2011', 12878, 'English'], ['Irish_general_election,_2011', 'http://dbpedia.org/resource/Irish_general_election,_2011', 13901, 'English'], ['German_federal_election,_2013', 'http://dbpedia.org/resource/German_federal_election,_2013', 16976, 'English'], ['Polish_parliamentary_election,_2011', 'http://dbpedia.org/resource/Polish_parliamentary_election,_2011', 17271, 'English'], ['Hungarian_parliamentary_election,_2010', 'http://dbpedia.org/resource/Hungarian_parliamentary_election,_2010', 37458, 'English'], ['Slovak_parliamentary_election,_2012', 'http://dbpedia.org/resource/Slovak_parliamentary_election,_2012', 18427, 'English'], ['Canadian_federal_election,_2008', 'http://dbpedia.org/resource/Canadian_federal_election,_2008', 19747, 'English'], ['Senate_of_the_Parliament_of_the_Czech_Republic', 'http://dbpedia.org/resource/Senate_of_the_Parliament_of_the_Czech_Republic', 10637, 'English'], ['Senate_of_the_Republic_(Italy)', 'http://dbpedia.org/resource/Senate_of_the_Republic_(Italy)', 15819, 'English'], ['President_of_the_European_Parliament', 'http://dbpedia.org/resource/President_of_the_European_Parliament', 19423, 'English'], ['Indian_general_election,_2014', 'http://dbpedia.org/resource/Indian_general_election,_2014', 36160, 'English'], ['Maltese_Government_2008–13', 'http://dbpedia.org/resource/Maltese_Government_2008–13', 36911, 'English'], ['Battle_of_Aleppo_(2012–present)', 'http://dbpedia.org/resource/Battle_of_Aleppo_(2012–present)', 31615, 'English'], ['President_of_the_European_Council', 'http://dbpedia.org/resource/President_of_the_European_Council', 13099, 'English'], ['Legislative_Assembly_of_British_Columbia', 'http://dbpedia.org/resource/Legislative_Assembly_of_British_Columbia', 32591, 'English']]",20
Championnat_de_Grèce_de_football_2013-2014,http://fr.dbpedia.org/resource/Championnat_de_Grèce_de_football_2013-2014,63,French,event,"[['2014–15_Football_League_Championship', 'http://dbpedia.org/resource/2014–15_Football_League_Championship', 37622, 'English'], ['2014–15_Football_League_Cup', 'http://dbpedia.org/resource/2014–15_Football_League_Cup', 10880, 'English'], ['2012–13_Football_League_Championship', 'http://dbpedia.org/resource/2012–13_Football_League_Championship', 19705, 'English'], ['2012–13_Football_League_Cup', 'http://dbpedia.org/resource/2012–13_Football_League_Cup', 11717, 'English'], ['2015–16_Football_League_Cup', 'http://dbpedia.org/resource/2015–16_Football_League_Cup', 12869, 'English'], ['2010–11_Football_League_Cup', 'http://dbpedia.org/resource/2010–11_Football_League_Cup', 37540, 'English'], ['2014–15_Swiss_Super_League', 'http://dbpedia.org/resource/2014–15_Swiss_Super_League', 18673, 'English'], ['2014–15_Belgian_Pro_League', 'http://dbpedia.org/resource/2014–15_Belgian_Pro_League', 35735, 'English'], ['2014–15_UEFA_Champions_League', 'http://dbpedia.org/resource/2014–15_UEFA_Champions_League', 33494, 'English'], ['Football_League_(Greece)', 'http://dbpedia.org/resource/Football_League_(Greece)', 36241, 'English'], ['2013–14_Premier_League', 'http://dbpedia.org/resource/2013–14_Premier_League', 15693, 'English'], ['Greece_national_football_team', 'http://dbpedia.org/resource/Greece_national_football_team', 15518, 'English'], ['2013–14_Swiss_Super_League', 'http://dbpedia.org/resource/2013–14_Swiss_Super_League', 16767, 'English'], ['2015_Major_League_Soccer_season', 'http://dbpedia.org/resource/2015_Major_League_Soccer_season', 20149, 'English'], ['Spain_national_under-21_football_team', 'http://dbpedia.org/resource/Spain_national_under-21_football_team', 19381, 'English'], ['Portugal_national_under-21_football_team', 'http://dbpedia.org/resource/Portugal_national_under-21_football_team', 17033, 'English'], ['Italy_national_under-21_football_team', 'http://dbpedia.org/resource/Italy_national_under-21_football_team', 15279, 'English'], ['2013–14_Belgian_Pro_League', 'http://dbpedia.org/resource/2013–14_Belgian_Pro_League', 38455, 'English'], ['Portugal_national_under-17_football_team', 'http://dbpedia.org/resource/Portugal_national_under-17_football_team', 10902, 'English'], ['Football_League_Championship', 'http://dbpedia.org/resource/Football_League_Championship', 17738, 'English']]",20
Coupe_des_clubs_champions_européens_1956-1957,http://fr.dbpedia.org/resource/Coupe_des_clubs_champions_européens_1956-1957,86,French,event,"[['1957–58_European_Cup', 'http://dbpedia.org/resource/1957–58_European_Cup', 19970, 'English'], ['1956–57_European_Cup', 'http://dbpedia.org/resource/1956–57_European_Cup', 10586, 'English'], ['1958–59_European_Cup', 'http://dbpedia.org/resource/1958–59_European_Cup', 13348, 'English'], ['1959–60_European_Cup', 'http://dbpedia.org/resource/1959–60_European_Cup', 36922, 'English'], [""1971–72_European_Cup_Winners'_Cup"", ""http://dbpedia.org/resource/1971–72_European_Cup_Winners'_Cup"", 39188, 'English'], [""1990–91_European_Cup_Winners'_Cup"", ""http://dbpedia.org/resource/1990–91_European_Cup_Winners'_Cup"", 19023, 'English'], ['1962_FIFA_World_Cup', 'http://dbpedia.org/resource/1962_FIFA_World_Cup', 13626, 'English'], ['1958–60_Inter-Cities_Fairs_Cup', 'http://dbpedia.org/resource/1958–60_Inter-Cities_Fairs_Cup', 16470, 'English'], ['1990_FIFA_World_Cup', 'http://dbpedia.org/resource/1990_FIFA_World_Cup', 11844, 'English'], [""1998–99_UEFA_Cup_Winners'_Cup"", ""http://dbpedia.org/resource/1998–99_UEFA_Cup_Winners'_Cup"", 36345, 'English'], ['FIFA_Club_World_Cup', 'http://dbpedia.org/resource/FIFA_Club_World_Cup', 10789, 'English'], ['European_Formula_3_Championship', 'http://dbpedia.org/resource/European_Formula_3_Championship', 32723, 'English'], ['2010–11_Football_League_Cup', 'http://dbpedia.org/resource/2010–11_Football_League_Cup', 37540, 'English'], ['2010_FIFA_World_Cup_qualification_–_CAF_Third_Round', 'http://dbpedia.org/resource/2010_FIFA_World_Cup_qualification_–_CAF_Third_Round', 35903, 'English'], ['Scottish_League_Cup', 'http://dbpedia.org/resource/Scottish_League_Cup', 30370, 'English'], ['2015–16_Football_League_Cup', 'http://dbpedia.org/resource/2015–16_Football_League_Cup', 12869, 'English'], ['1992–93_UEFA_Champions_League', 'http://dbpedia.org/resource/1992–93_UEFA_Champions_League', 36649, 'English'], ['2014–15_Football_League_Cup', 'http://dbpedia.org/resource/2014–15_Football_League_Cup', 10880, 'English'], ['French_Basketball_Cup', 'http://dbpedia.org/resource/French_Basketball_Cup', 30709, 'English'], ['2012–13_Football_League_Cup', 'http://dbpedia.org/resource/2012–13_Football_League_Cup', 11717, 'English']]",20
STS-90,http://fr.dbpedia.org/resource/STS-90,94,French,event,"[['STS-90', 'http://dbpedia.org/resource/STS-90', 10594, 'English'], ['STS-80', 'http://dbpedia.org/resource/STS-80', 10775, 'English'], ['STS-70', 'http://dbpedia.org/resource/STS-70', 37810, 'English'], ['STS-75', 'http://dbpedia.org/resource/STS-75', 11724, 'English'], ['STS-85', 'http://dbpedia.org/resource/STS-85', 12194, 'English'], ['STS-60', 'http://dbpedia.org/resource/STS-60', 37888, 'English'], ['STS-120', 'http://dbpedia.org/resource/STS-120', 35652, 'English'], ['STS-65', 'http://dbpedia.org/resource/STS-65', 19410, 'English'], ['STS-95', 'http://dbpedia.org/resource/STS-95', 38898, 'English'], ['STS-84', 'http://dbpedia.org/resource/STS-84', 18436, 'English'], ['STS-99', 'http://dbpedia.org/resource/STS-99', 38021, 'English'], ['STS-89', 'http://dbpedia.org/resource/STS-89', 20942, 'English'], ['STS-92', 'http://dbpedia.org/resource/STS-92', 12355, 'English'], ['STS-94', 'http://dbpedia.org/resource/STS-94', 36211, 'English'], ['STS-86', 'http://dbpedia.org/resource/STS-86', 11283, 'English'], ['STS-78', 'http://dbpedia.org/resource/STS-78', 37294, 'English'], ['STS-76', 'http://dbpedia.org/resource/STS-76', 18150, 'English'], ['STS-87', 'http://dbpedia.org/resource/STS-87', 20178, 'English'], ['STS-50', 'http://dbpedia.org/resource/STS-50', 36906, 'English'], ['STS-82', 'http://dbpedia.org/resource/STS-82', 16871, 'English']]",20
Guerre_d'indépendance_du_Mexique,http://fr.dbpedia.org/resource/Guerre_d'indépendance_du_Mexique,123,French,event,"[['Mexican_War_of_Independence', 'http://dbpedia.org/resource/Mexican_War_of_Independence', 10623, 'English'], ['Peruvian_War_of_Independence', 'http://dbpedia.org/resource/Peruvian_War_of_Independence', 15470, 'English'], ['Irish_War_of_Independence', 'http://dbpedia.org/resource/Irish_War_of_Independence', 37845, 'English'], ['Second_Italian_War_of_Independence', 'http://dbpedia.org/resource/Second_Italian_War_of_Independence', 13788, 'English'], ['War_of_the_Spanish_Succession', 'http://dbpedia.org/resource/War_of_the_Spanish_Succession', 16475, 'English'], ['Mexican–American_War', 'http://dbpedia.org/resource/Mexican–American_War', 30659, 'English'], ['War_of_the_Fourth_Coalition', 'http://dbpedia.org/resource/War_of_the_Fourth_Coalition', 19064, 'English'], ['War_of_the_Sixth_Coalition', 'http://dbpedia.org/resource/War_of_the_Sixth_Coalition', 19791, 'English'], ['War_of_1812', 'http://dbpedia.org/resource/War_of_1812', 11072, 'English'], [""President_of_the_People's_Republic_of_China"", ""http://dbpedia.org/resource/President_of_the_People's_Republic_of_China"", 17719, 'English'], ['Confederate_States_of_America', 'http://dbpedia.org/resource/Confederate_States_of_America', 38832, 'English'], ['List_of_heads_of_government_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_government_of_the_Central_African_Republic', 39237, 'English'], ['African_Party_for_the_Independence_of_Guinea_and_Cape_Verde', 'http://dbpedia.org/resource/African_Party_for_the_Independence_of_Guinea_and_Cape_Verde', 14251, 'English'], ['National_Army_of_Colombia', 'http://dbpedia.org/resource/National_Army_of_Colombia', 34961, 'English'], ['List_of_heads_of_state_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_state_of_the_Central_African_Republic', 10514, 'English'], ['List_of_Presidents_of_the_Dominican_Republic', 'http://dbpedia.org/resource/List_of_Presidents_of_the_Dominican_Republic', 33371, 'English'], ['President_of_the_Republic_of_China', 'http://dbpedia.org/resource/President_of_the_Republic_of_China', 35968, 'English'], ['The_People_of_Freedom', 'http://dbpedia.org/resource/The_People_of_Freedom', 39294, 'English'], ['Union_of_Democrats_for_the_Republic', 'http://dbpedia.org/resource/Union_of_Democrats_for_the_Republic', 13414, 'English'], [""Premier_of_the_People's_Republic_of_China"", ""http://dbpedia.org/resource/Premier_of_the_People's_Republic_of_China"", 20457, 'English']]",20
Coupe_de_la_Ligue_française_de_football_2005-2006,http://fr.dbpedia.org/resource/Coupe_de_la_Ligue_française_de_football_2005-2006,147,French,event,"[['2010–11_Football_League_Cup', 'http://dbpedia.org/resource/2010–11_Football_League_Cup', 37540, 'English'], ['2012–13_Football_League_Cup', 'http://dbpedia.org/resource/2012–13_Football_League_Cup', 11717, 'English'], ['Republic_of_Ireland_national_under-21_football_team', 'http://dbpedia.org/resource/Republic_of_Ireland_national_under-21_football_team', 12722, 'English'], ['France_national_under-19_football_team', 'http://dbpedia.org/resource/France_national_under-19_football_team', 38555, 'English'], ['France_national_under-18_football_team', 'http://dbpedia.org/resource/France_national_under-18_football_team', 13214, 'English'], ['France_national_under-21_football_team', 'http://dbpedia.org/resource/France_national_under-21_football_team', 16342, 'English'], ['The_Football_League', 'http://dbpedia.org/resource/The_Football_League', 36293, 'English'], ['France_national_under-17_football_team', 'http://dbpedia.org/resource/France_national_under-17_football_team', 20983, 'English'], ['France_national_under-20_football_team', 'http://dbpedia.org/resource/France_national_under-20_football_team', 15063, 'English'], ['England_national_under-19_football_team', 'http://dbpedia.org/resource/England_national_under-19_football_team', 38827, 'English'], ['Italy_national_under-21_football_team', 'http://dbpedia.org/resource/Italy_national_under-21_football_team', 15279, 'English'], ['England_national_under-21_football_team', 'http://dbpedia.org/resource/England_national_under-21_football_team', 10567, 'English'], ['Belgium_national_under-21_football_team', 'http://dbpedia.org/resource/Belgium_national_under-21_football_team', 36956, 'English'], ['Spain_national_under-21_football_team', 'http://dbpedia.org/resource/Spain_national_under-21_football_team', 19381, 'English'], ['Germany_national_under-21_football_team', 'http://dbpedia.org/resource/Germany_national_under-21_football_team', 19166, 'English'], ['Sweden_national_under-21_football_team', 'http://dbpedia.org/resource/Sweden_national_under-21_football_team', 36675, 'English'], ['Netherlands_national_under-19_football_team', 'http://dbpedia.org/resource/Netherlands_national_under-19_football_team', 38640, 'English'], ['Switzerland_national_under-23_football_team', 'http://dbpedia.org/resource/Switzerland_national_under-23_football_team', 11032, 'English'], ['Switzerland_national_under-21_football_team', 'http://dbpedia.org/resource/Switzerland_national_under-21_football_team', 11600, 'English'], ['Turkey_national_under-21_football_team', 'http://dbpedia.org/resource/Turkey_national_under-21_football_team', 35829, 'English']]",20
Guerre_d'Afghanistan_(1979-1989),http://fr.dbpedia.org/resource/Guerre_d'Afghanistan_(1979-1989),168,French,event,"[['War_in_Afghanistan_(2001–14)', 'http://dbpedia.org/resource/War_in_Afghanistan_(2001–14)', 12770, 'English'], ['Iraq_War', 'http://dbpedia.org/resource/Iraq_War', 35621, 'English'], ['Iran–Iraq_War', 'http://dbpedia.org/resource/Iran–Iraq_War', 34403, 'English'], ['Soviet–Afghan_War', 'http://dbpedia.org/resource/Soviet–Afghan_War', 10668, 'English'], ['Libyan_Civil_War_(2011)', 'http://dbpedia.org/resource/Libyan_Civil_War_(2011)', 34276, 'English'], ['American_Civil_War', 'http://dbpedia.org/resource/American_Civil_War', 14130, 'English'], ['East_African_Campaign_(World_War_II)', 'http://dbpedia.org/resource/East_African_Campaign_(World_War_II)', 31189, 'English'], [""Nine_Years'_War"", ""http://dbpedia.org/resource/Nine_Years'_War"", 20760, 'English'], ['Eastern_Front_(World_War_II)', 'http://dbpedia.org/resource/Eastern_Front_(World_War_II)', 33121, 'English'], ['Design_of_a_Decade:_1986–1996', 'http://dbpedia.org/resource/Design_of_a_Decade:_1986–1996', 11155, 'English'], ['War_in_North-West_Pakistan', 'http://dbpedia.org/resource/War_in_North-West_Pakistan', 37860, 'English'], ['United_Kingdom_general_election,_1997', 'http://dbpedia.org/resource/United_Kingdom_general_election,_1997', 17423, 'English'], ['The_Best_of_1980–1990', 'http://dbpedia.org/resource/The_Best_of_1980–1990', 19051, 'English'], ['Democratic_Republic_of_Afghanistan', 'http://dbpedia.org/resource/Democratic_Republic_of_Afghanistan', 34220, 'English'], ['Russian_Civil_War', 'http://dbpedia.org/resource/Russian_Civil_War', 31221, 'English'], ['Italian_Campaign_(World_War_II)', 'http://dbpedia.org/resource/Italian_Campaign_(World_War_II)', 35560, 'English'], ['Gulf_War', 'http://dbpedia.org/resource/Gulf_War', 35783, 'English'], ['First_Balkan_War', 'http://dbpedia.org/resource/First_Balkan_War', 34906, 'English'], [""Hundred_Years'_War"", ""http://dbpedia.org/resource/Hundred_Years'_War"", 32639, 'English'], ['Pacific_War', 'http://dbpedia.org/resource/Pacific_War', 32713, 'English']]",20
STS-80,http://fr.dbpedia.org/resource/STS-80,275,French,event,"[['STS-80', 'http://dbpedia.org/resource/STS-80', 10775, 'English'], ['STS-70', 'http://dbpedia.org/resource/STS-70', 37810, 'English'], ['STS-90', 'http://dbpedia.org/resource/STS-90', 10594, 'English'], ['STS-75', 'http://dbpedia.org/resource/STS-75', 11724, 'English'], ['STS-85', 'http://dbpedia.org/resource/STS-85', 12194, 'English'], ['STS-60', 'http://dbpedia.org/resource/STS-60', 37888, 'English'], ['STS-65', 'http://dbpedia.org/resource/STS-65', 19410, 'English'], ['STS-120', 'http://dbpedia.org/resource/STS-120', 35652, 'English'], ['STS-50', 'http://dbpedia.org/resource/STS-50', 36906, 'English'], ['STS-78', 'http://dbpedia.org/resource/STS-78', 37294, 'English'], ['STS-76', 'http://dbpedia.org/resource/STS-76', 18150, 'English'], ['STS-82', 'http://dbpedia.org/resource/STS-82', 16871, 'English'], ['STS-68', 'http://dbpedia.org/resource/STS-68', 36883, 'English'], ['STS-95', 'http://dbpedia.org/resource/STS-95', 38898, 'English'], ['STS-66', 'http://dbpedia.org/resource/STS-66', 18110, 'English'], ['STS-84', 'http://dbpedia.org/resource/STS-84', 18436, 'English'], ['STS-74', 'http://dbpedia.org/resource/STS-74', 37319, 'English'], ['STS-72', 'http://dbpedia.org/resource/STS-72', 39304, 'English'], ['STS-79', 'http://dbpedia.org/resource/STS-79', 14497, 'English'], ['STS-81', 'http://dbpedia.org/resource/STS-81', 20985, 'English']]",20
Coupe_du_monde_des_clubs_de_la_FIFA,http://fr.dbpedia.org/resource/Coupe_du_monde_des_clubs_de_la_FIFA,289,French,event,"[['FIFA_Club_World_Cup', 'http://dbpedia.org/resource/FIFA_Club_World_Cup', 10789, 'English'], ['1962_FIFA_World_Cup', 'http://dbpedia.org/resource/1962_FIFA_World_Cup', 13626, 'English'], ['1990_FIFA_World_Cup', 'http://dbpedia.org/resource/1990_FIFA_World_Cup', 11844, 'English'], ['2010_FIFA_World_Cup_qualification_–_CAF_Third_Round', 'http://dbpedia.org/resource/2010_FIFA_World_Cup_qualification_–_CAF_Third_Round', 35903, 'English'], [""2015_FIFA_Women's_World_Cup"", ""http://dbpedia.org/resource/2015_FIFA_Women's_World_Cup"", 34546, 'English'], [""1998–99_UEFA_Cup_Winners'_Cup"", ""http://dbpedia.org/resource/1998–99_UEFA_Cup_Winners'_Cup"", 36345, 'English'], [""1990–91_European_Cup_Winners'_Cup"", ""http://dbpedia.org/resource/1990–91_European_Cup_Winners'_Cup"", 19023, 'English'], [""1971–72_European_Cup_Winners'_Cup"", ""http://dbpedia.org/resource/1971–72_European_Cup_Winners'_Cup"", 39188, 'English'], ['2010–11_Football_League_Cup', 'http://dbpedia.org/resource/2010–11_Football_League_Cup', 37540, 'English'], ['Football_League_Cup', 'http://dbpedia.org/resource/Football_League_Cup', 19408, 'English'], ['2012–13_Football_League_Cup', 'http://dbpedia.org/resource/2012–13_Football_League_Cup', 11717, 'English'], ['2008–09_UEFA_Cup', 'http://dbpedia.org/resource/2008–09_UEFA_Cup', 20782, 'English'], ['2015–16_Football_League_Cup', 'http://dbpedia.org/resource/2015–16_Football_League_Cup', 12869, 'English'], ['2014–15_Football_League_Cup', 'http://dbpedia.org/resource/2014–15_Football_League_Cup', 10880, 'English'], ['Intercontinental_Cup_(football)', 'http://dbpedia.org/resource/Intercontinental_Cup_(football)', 13833, 'English'], ['Scottish_League_Cup', 'http://dbpedia.org/resource/Scottish_League_Cup', 30370, 'English'], ['2009–10_FA_Cup', 'http://dbpedia.org/resource/2009–10_FA_Cup', 35814, 'English'], ['2007_CAF_Champions_League', 'http://dbpedia.org/resource/2007_CAF_Champions_League', 36755, 'English'], ['2009–10_Swiss_Cup', 'http://dbpedia.org/resource/2009–10_Swiss_Cup', 13198, 'English'], ['French_Basketball_Cup', 'http://dbpedia.org/resource/French_Basketball_Cup', 30709, 'English']]",20
