index_name,index_uri,index_id,index_language,category,candidates_str,num_candidates
Racers_d'Indianapolis,http://fr.dbpedia.org/resource/Racers_d'Indianapolis,2921,French,uncertain,"[['Indianapolis_Racers', 'http://dbpedia.org/resource/Indianapolis_Racers', 13421, 'English'], ['Indianapolis', 'http://dbpedia.org/resource/Indianapolis', 39164, 'English'], ['Indianapolis_500', 'http://dbpedia.org/resource/Indianapolis_500', 32544, 'English'], ['Rob_Walker_Racing_Team', 'http://dbpedia.org/resource/Rob_Walker_Racing_Team', 19639, 'English'], ['World_Touring_Car_Championship', 'http://dbpedia.org/resource/World_Touring_Car_Championship', 34842, 'English'], ['Box_Car_Racer', 'http://dbpedia.org/resource/Box_Car_Racer', 16924, 'English'], ['British_Touring_Car_Championship', 'http://dbpedia.org/resource/British_Touring_Car_Championship', 17152, 'English'], ['Racing_92', 'http://dbpedia.org/resource/Racing_92', 14262, 'English'], ['Bicycle_Race', 'http://dbpedia.org/resource/Bicycle_Race', 35594, 'English'], ['Ron_Flockhart_(racing_driver)', 'http://dbpedia.org/resource/Ron_Flockhart_(racing_driver)', 36078, 'English'], ['British_Racing_Motors', 'http://dbpedia.org/resource/British_Racing_Motors', 18880, 'English'], ['Jaguar_Racing', 'http://dbpedia.org/resource/Jaguar_Racing', 38737, 'English'], ['John_Watson_(racing_driver)', 'http://dbpedia.org/resource/John_Watson_(racing_driver)', 15799, 'English'], ['Red_Bull_Racing', 'http://dbpedia.org/resource/Red_Bull_Racing', 13857, 'English'], ['Derek_Bell_(racing_driver)', 'http://dbpedia.org/resource/Derek_Bell_(racing_driver)', 37790, 'English'], ['Chicago_Fire_Soccer_Club', 'http://dbpedia.org/resource/Chicago_Fire_Soccer_Club', 18446, 'English'], ['Kansas_City_Scouts', 'http://dbpedia.org/resource/Kansas_City_Scouts', 30826, 'English'], ['Cincinnati', 'http://dbpedia.org/resource/Cincinnati', 32949, 'English'], ['Alan_Jones_(racing_driver)', 'http://dbpedia.org/resource/Alan_Jones_(racing_driver)', 12744, 'English'], ['Box_Car_Racer_(album)', 'http://dbpedia.org/resource/Box_Car_Racer_(album)', 37512, 'English']]",20
Raith_Rovers_Football_Club,http://fr.dbpedia.org/resource/Raith_Rovers_Football_Club,2938,French,uncertain,"[['Raith_Rovers_F.C.', 'http://dbpedia.org/resource/Raith_Rovers_F.C.', 13438, 'English'], ['Blackburn_Rovers_F.C.', 'http://dbpedia.org/resource/Blackburn_Rovers_F.C.', 16819, 'English'], ['Bristol_Rovers_F.C.', 'http://dbpedia.org/resource/Bristol_Rovers_F.C.', 39561, 'English'], ['Shamrock_Rovers_F.C.', 'http://dbpedia.org/resource/Shamrock_Rovers_F.C.', 17695, 'English'], ['Tranmere_Rovers_F.C.', 'http://dbpedia.org/resource/Tranmere_Rovers_F.C.', 39168, 'English'], ['N.E.C._(football_club)', 'http://dbpedia.org/resource/N.E.C._(football_club)', 20361, 'English'], ['Doncaster_Rovers_F.C.', 'http://dbpedia.org/resource/Doncaster_Rovers_F.C.', 38332, 'English'], ['Football_League_Cup', 'http://dbpedia.org/resource/Football_League_Cup', 19408, 'English'], ['Football_League_Championship', 'http://dbpedia.org/resource/Football_League_Championship', 17738, 'English'], ['Russian_Football_Premier_League', 'http://dbpedia.org/resource/Russian_Football_Premier_League', 36026, 'English'], ['Football_League_Two', 'http://dbpedia.org/resource/Football_League_Two', 12506, 'English'], ['Premier_Soccer_League', 'http://dbpedia.org/resource/Premier_Soccer_League', 33977, 'English'], ['The_Football_League', 'http://dbpedia.org/resource/The_Football_League', 36293, 'English'], ['Football_League_One', 'http://dbpedia.org/resource/Football_League_One', 35343, 'English'], ['United_Soccer_League', 'http://dbpedia.org/resource/United_Soccer_League', 10906, 'English'], ['Wigan_Athletic_F.C.', 'http://dbpedia.org/resource/Wigan_Athletic_F.C.', 11348, 'English'], ['Championship_(rugby_league)', 'http://dbpedia.org/resource/Championship_(rugby_league)', 32640, 'English'], ['Football_League_(Greece)', 'http://dbpedia.org/resource/Football_League_(Greece)', 36241, 'English'], ['Willem_II_(football_club)', 'http://dbpedia.org/resource/Willem_II_(football_club)', 15568, 'English'], ['England_national_rugby_league_team', 'http://dbpedia.org/resource/England_national_rugby_league_team', 33965, 'English']]",20
Cabinet_Helle_Thorning-Schmidt_II,http://fr.dbpedia.org/resource/Cabinet_Helle_Thorning-Schmidt_II,2951,French,uncertain,"[['Thorning-Schmidt_II_Cabinet', 'http://dbpedia.org/resource/Thorning-Schmidt_II_Cabinet', 13451, 'English'], ['Thorning-Schmidt_I_Cabinet', 'http://dbpedia.org/resource/Thorning-Schmidt_I_Cabinet', 13575, 'English'], ['Helle_Thorning-Schmidt', 'http://dbpedia.org/resource/Helle_Thorning-Schmidt', 35918, 'English'], ['Stoltenberg_II_Cabinet', 'http://dbpedia.org/resource/Stoltenberg_II_Cabinet', 18309, 'English'], ['Lars_Løkke_Rasmussen_II_Cabinet', 'http://dbpedia.org/resource/Lars_Løkke_Rasmussen_II_Cabinet', 13331, 'English'], ['Cabinet_Erdoğan_II', 'http://dbpedia.org/resource/Cabinet_Erdoğan_II', 18052, 'English'], ['Cabinet_Erdoğan_III', 'http://dbpedia.org/resource/Cabinet_Erdoğan_III', 16659, 'English'], ['Prodi_II_Cabinet', 'http://dbpedia.org/resource/Prodi_II_Cabinet', 38176, 'English'], ['Berlusconi_II_Cabinet', 'http://dbpedia.org/resource/Berlusconi_II_Cabinet', 15345, 'English'], ['Berlusconi_III_Cabinet', 'http://dbpedia.org/resource/Berlusconi_III_Cabinet', 37759, 'English'], ['Lars_Løkke_Rasmussen_I_Cabinet', 'http://dbpedia.org/resource/Lars_Løkke_Rasmussen_I_Cabinet', 38340, 'English'], ['Cabinet_of_Ivo_Sanader_II', 'http://dbpedia.org/resource/Cabinet_of_Ivo_Sanader_II', 30714, 'English'], ['Robert_Smith_(Cabinet_member)', 'http://dbpedia.org/resource/Robert_Smith_(Cabinet_member)', 12065, 'English'], [""Taavi_Rõivas'_first_cabinet"", ""http://dbpedia.org/resource/Taavi_Rõivas'_first_cabinet"", 36010, 'English'], ['Cabinet_of_George_Papandreou', 'http://dbpedia.org/resource/Cabinet_of_George_Papandreou', 15361, 'English'], ['Chief_Cabinet_Secretary', 'http://dbpedia.org/resource/Chief_Cabinet_Secretary', 33355, 'English'], ['First_Merkel_cabinet', 'http://dbpedia.org/resource/First_Merkel_cabinet', 37092, 'English'], [""Taavi_Rõivas'_second_cabinet"", ""http://dbpedia.org/resource/Taavi_Rõivas'_second_cabinet"", 20660, 'English'], ['Second_Merkel_cabinet', 'http://dbpedia.org/resource/Second_Merkel_cabinet', 38958, 'English'], ['Ciorbea_I_Cabinet', 'http://dbpedia.org/resource/Ciorbea_I_Cabinet', 10857, 'English']]",20
In_Flames,http://fr.dbpedia.org/resource/In_Flames,2953,French,uncertain,"[['In_Flames', 'http://dbpedia.org/resource/In_Flames', 13453, 'English'], ['Jump_in_the_Fire', 'http://dbpedia.org/resource/Jump_in_the_Fire', 38769, 'English'], ['Through_the_Fire_and_Flames', 'http://dbpedia.org/resource/Through_the_Fire_and_Flames', 33843, 'English'], ['In_the_Zone', 'http://dbpedia.org/resource/In_the_Zone', 15222, 'English'], ['In_the_Flesh%3F', 'http://dbpedia.org/resource/In_the_Flesh%3F', 34454, 'English'], ['Made_in_Heaven', 'http://dbpedia.org/resource/Made_in_Heaven', 16578, 'English'], ['Down_in_It', 'http://dbpedia.org/resource/Down_in_It', 38674, 'English'], ['Back_in_Black', 'http://dbpedia.org/resource/Back_in_Black', 17818, 'English'], ['Hot_in_the_Shade', 'http://dbpedia.org/resource/Hot_in_the_Shade', 17715, 'English'], ['In_Love_and_Death', 'http://dbpedia.org/resource/In_Love_and_Death', 12976, 'English'], ['In_My_Place', 'http://dbpedia.org/resource/In_My_Place', 37696, 'English'], ['Lost_in_the_Echo', 'http://dbpedia.org/resource/Lost_in_the_Echo', 38785, 'English'], ['Devil_in_His_Heart', 'http://dbpedia.org/resource/Devil_in_His_Heart', 32468, 'English'], ['Back_in_the_U.S.S.R.', 'http://dbpedia.org/resource/Back_in_the_U.S.S.R.', 33064, 'English'], ['No_Church_in_the_Wild', 'http://dbpedia.org/resource/No_Church_in_the_Wild', 16621, 'English'], ['In_My_Time_of_Dying', 'http://dbpedia.org/resource/In_My_Time_of_Dying', 20947, 'English'], ['Back_in_Black_(song)', 'http://dbpedia.org/resource/Back_in_Black_(song)', 39258, 'English'], ['Something_in_the_Way', 'http://dbpedia.org/resource/Something_in_the_Way', 15690, 'English'], ['Rolling_in_the_Deep', 'http://dbpedia.org/resource/Rolling_in_the_Deep', 37485, 'English'], ['Caught_in_a_Life', 'http://dbpedia.org/resource/Caught_in_a_Life', 18028, 'English']]",20
Shady_Records,http://fr.dbpedia.org/resource/Shady_Records,2963,French,uncertain,"[['Shady_Records', 'http://dbpedia.org/resource/Shady_Records', 13463, 'English'], ['Riverside_Records', 'http://dbpedia.org/resource/Riverside_Records', 15759, 'English'], ['Track_Records', 'http://dbpedia.org/resource/Track_Records', 15099, 'English'], ['Lookout_Records', 'http://dbpedia.org/resource/Lookout_Records', 38780, 'English'], ['Capitol_Records', 'http://dbpedia.org/resource/Capitol_Records', 35302, 'English'], ['Columbia_Records', 'http://dbpedia.org/resource/Columbia_Records', 13252, 'English'], ['Hollywood_Records', 'http://dbpedia.org/resource/Hollywood_Records', 15391, 'English'], ['Southern_Records', 'http://dbpedia.org/resource/Southern_Records', 36203, 'English'], ['Ruthless_Records', 'http://dbpedia.org/resource/Ruthless_Records', 17074, 'English'], ['Bad_Boy_Records', 'http://dbpedia.org/resource/Bad_Boy_Records', 14727, 'English'], ['Sun_Records', 'http://dbpedia.org/resource/Sun_Records', 14181, 'English'], ['Reprise_Records', 'http://dbpedia.org/resource/Reprise_Records', 11429, 'English'], ['Downtown_Records', 'http://dbpedia.org/resource/Downtown_Records', 12216, 'English'], ['Island_Records', 'http://dbpedia.org/resource/Island_Records', 33631, 'English'], ['Uptown_Records', 'http://dbpedia.org/resource/Uptown_Records', 38531, 'English'], ['Interscope_Records', 'http://dbpedia.org/resource/Interscope_Records', 16834, 'English'], ['Defstar_Records', 'http://dbpedia.org/resource/Defstar_Records', 20565, 'English'], [""You_Don't_Know_(Shady_Records_song)"", ""http://dbpedia.org/resource/You_Don't_Know_(Shady_Records_song)"", 35072, 'English'], ['Homestead_Records', 'http://dbpedia.org/resource/Homestead_Records', 38061, 'English'], ['FatCat_Records', 'http://dbpedia.org/resource/FatCat_Records', 18815, 'English']]",20
Queensland_Reds,http://fr.dbpedia.org/resource/Queensland_Reds,2966,French,uncertain,"[['Queensland_Reds', 'http://dbpedia.org/resource/Queensland_Reds', 13466, 'English'], ['Gold_Coast,_Queensland', 'http://dbpedia.org/resource/Gold_Coast,_Queensland', 34843, 'English'], ['Providence_Reds', 'http://dbpedia.org/resource/Providence_Reds', 30320, 'English'], ['Premier_of_Queensland', 'http://dbpedia.org/resource/Premier_of_Queensland', 32505, 'English'], ['Brisbane_City_(rugby_team)', 'http://dbpedia.org/resource/Brisbane_City_(rugby_team)', 31761, 'English'], ['Australia_national_rugby_league_team', 'http://dbpedia.org/resource/Australia_national_rugby_league_team', 30933, 'English'], ['Central_Coast_Mariners_FC', 'http://dbpedia.org/resource/Central_Coast_Mariners_FC', 14432, 'English'], ['Australia_national_rugby_union_team', 'http://dbpedia.org/resource/Australia_national_rugby_union_team', 35121, 'English'], ['New_South_Wales_rugby_league_team', 'http://dbpedia.org/resource/New_South_Wales_rugby_league_team', 30287, 'English'], ['University_of_Queensland', 'http://dbpedia.org/resource/University_of_Queensland', 31341, 'English'], ['New_Zealand_national_rugby_league_team', 'http://dbpedia.org/resource/New_Zealand_national_rugby_league_team', 31224, 'English'], ['Pacific_Coast_League', 'http://dbpedia.org/resource/Pacific_Coast_League', 31929, 'English'], ['New_South_Wales_Waratahs', 'http://dbpedia.org/resource/New_South_Wales_Waratahs', 37015, 'English'], ['Otago_Rugby_Football_Union', 'http://dbpedia.org/resource/Otago_Rugby_Football_Union', 33748, 'English'], ['Australia', 'http://dbpedia.org/resource/Australia', 17538, 'English'], ['Melbourne_Victory_FC', 'http://dbpedia.org/resource/Melbourne_Victory_FC', 37444, 'English'], ['Hurricanes_(rugby_union)', 'http://dbpedia.org/resource/Hurricanes_(rugby_union)', 19854, 'English'], ['Greater_Sydney_Rams', 'http://dbpedia.org/resource/Greater_Sydney_Rams', 11200, 'English'], ['Victoria_(Australia)', 'http://dbpedia.org/resource/Victoria_(Australia)', 16404, 'English'], ['Brisbane_Roar_FC', 'http://dbpedia.org/resource/Brisbane_Roar_FC', 34475, 'English']]",20
Kardemir_Demir_Çelik_Karabükspor,http://fr.dbpedia.org/resource/Kardemir_Demir_Çelik_Karabükspor,2971,French,uncertain,"[['İsmet_Yılmaz', 'http://dbpedia.org/resource/İsmet_Yılmaz', 18586, 'English'], ['Soheil_Ayari', 'http://dbpedia.org/resource/Soheil_Ayari', 31566, 'English'], ['Ahmet_Necdet_Sezer', 'http://dbpedia.org/resource/Ahmet_Necdet_Sezer', 18848, 'English'], ['Ahmet_Davutoğlu', 'http://dbpedia.org/resource/Ahmet_Davutoğlu', 18415, 'English'], ['Mehdi_Jomaa', 'http://dbpedia.org/resource/Mehdi_Jomaa', 15884, 'English'], ['Mustapha_Mansouri', 'http://dbpedia.org/resource/Mustapha_Mansouri', 17291, 'English'], ['Ghulam_Mustafa_Jatoi', 'http://dbpedia.org/resource/Ghulam_Mustafa_Jatoi', 36915, 'English'], ['Bülent_Ecevit', 'http://dbpedia.org/resource/Bülent_Ecevit', 14759, 'English'], ['Rachid_Talbi_Alami', 'http://dbpedia.org/resource/Rachid_Talbi_Alami', 19556, 'English'], ['Karim_Ghellab', 'http://dbpedia.org/resource/Karim_Ghellab', 15237, 'English'], ['Ibrahim_Boubacar_Keïta', 'http://dbpedia.org/resource/Ibrahim_Boubacar_Keïta', 38037, 'English'], ['Turgut_Özal', 'http://dbpedia.org/resource/Turgut_Özal', 34392, 'English'], ['László_Sólyom', 'http://dbpedia.org/resource/László_Sólyom', 37359, 'English'], ['Mustafa_Kemal_Atatürk', 'http://dbpedia.org/resource/Mustafa_Kemal_Atatürk', 14420, 'English'], ['Fuad_Masum', 'http://dbpedia.org/resource/Fuad_Masum', 35091, 'English'], ['Sardar_Ayaz_Sadiq', 'http://dbpedia.org/resource/Sardar_Ayaz_Sadiq', 30754, 'English'], ['Emil_Constantinescu', 'http://dbpedia.org/resource/Emil_Constantinescu', 18356, 'English'], ['Viktor_Savinykh', 'http://dbpedia.org/resource/Viktor_Savinykh', 19967, 'English'], ['Danilo_Türk', 'http://dbpedia.org/resource/Danilo_Türk', 35189, 'English'], ['Emil_Cioran', 'http://dbpedia.org/resource/Emil_Cioran', 20884, 'English']]",20
Président_de_la_République_française,http://fr.dbpedia.org/resource/Président_de_la_République_française,2974,French,uncertain,"[['President_of_the_Czech_Republic', 'http://dbpedia.org/resource/President_of_the_Czech_Republic', 30875, 'English'], ['President_of_the_Republic_of_China', 'http://dbpedia.org/resource/President_of_the_Republic_of_China', 35968, 'English'], ['Provisional_Government_of_the_French_Republic', 'http://dbpedia.org/resource/Provisional_Government_of_the_French_Republic', 19017, 'English'], [""President_of_the_People's_Republic_of_China"", ""http://dbpedia.org/resource/President_of_the_People's_Republic_of_China"", 17719, 'English'], ['Senate_of_the_Parliament_of_the_Czech_Republic', 'http://dbpedia.org/resource/Senate_of_the_Parliament_of_the_Czech_Republic', 10637, 'English'], ['First_Secretary_of_the_French_Socialist_Party', 'http://dbpedia.org/resource/First_Secretary_of_the_French_Socialist_Party', 31065, 'English'], ['Chamber_of_Deputies_of_the_Parliament_of_the_Czech_Republic', 'http://dbpedia.org/resource/Chamber_of_Deputies_of_the_Parliament_of_the_Czech_Republic', 14168, 'English'], ['President_of_the_European_Parliament', 'http://dbpedia.org/resource/President_of_the_European_Parliament', 19423, 'English'], ['List_of_Presidents_of_the_Dominican_Republic', 'http://dbpedia.org/resource/List_of_Presidents_of_the_Dominican_Republic', 33371, 'English'], ['List_of_heads_of_government_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_government_of_the_Central_African_Republic', 39237, 'English'], [""Premier_of_the_People's_Republic_of_China"", ""http://dbpedia.org/resource/Premier_of_the_People's_Republic_of_China"", 20457, 'English'], ['Parliament_of_the_French_Community', 'http://dbpedia.org/resource/Parliament_of_the_French_Community', 30482, 'English'], ['President_of_France', 'http://dbpedia.org/resource/President_of_France', 13474, 'English'], ['President_of_the_European_Council', 'http://dbpedia.org/resource/President_of_the_European_Council', 13099, 'English'], ['Senate_of_the_Republic_(Italy)', 'http://dbpedia.org/resource/Senate_of_the_Republic_(Italy)', 15819, 'English'], ['Republic_of_the_Congo', 'http://dbpedia.org/resource/Republic_of_the_Congo', 19902, 'English'], ['President_of_the_European_Commission', 'http://dbpedia.org/resource/President_of_the_European_Commission', 16756, 'English'], ['Union_of_Democrats_for_the_Republic', 'http://dbpedia.org/resource/Union_of_Democrats_for_the_Republic', 13414, 'English'], ['List_of_heads_of_state_of_the_Central_African_Republic', 'http://dbpedia.org/resource/List_of_heads_of_state_of_the_Central_African_Republic', 10514, 'English'], ['Rally_of_the_French_People', 'http://dbpedia.org/resource/Rally_of_the_French_People', 37782, 'English']]",20
Chancelier_de_l'Échiquier,http://fr.dbpedia.org/resource/Chancelier_de_l'Échiquier,2989,French,uncertain,"[['Chancellor_of_the_Exchequer', 'http://dbpedia.org/resource/Chancellor_of_the_Exchequer', 13489, 'English'], ['Vice-Chancellor_of_Germany', 'http://dbpedia.org/resource/Vice-Chancellor_of_Germany', 12888, 'English'], ['President_of_the_European_Parliament', 'http://dbpedia.org/resource/President_of_the_European_Parliament', 19423, 'English'], ['Vice-Chancellor_of_Austria', 'http://dbpedia.org/resource/Vice-Chancellor_of_Austria', 30505, 'English'], ['Lord_President_of_the_Council', 'http://dbpedia.org/resource/Lord_President_of_the_Council', 15137, 'English'], ['Leader_of_the_House_of_Lords', 'http://dbpedia.org/resource/Leader_of_the_House_of_Lords', 31996, 'English'], ['Leader_of_the_House_of_Commons', 'http://dbpedia.org/resource/Leader_of_the_House_of_Commons', 11094, 'English'], ['Senate_of_the_Parliament_of_the_Czech_Republic', 'http://dbpedia.org/resource/Senate_of_the_Parliament_of_the_Czech_Republic', 10637, 'English'], ['Chamber_of_Deputies_of_the_Parliament_of_the_Czech_Republic', 'http://dbpedia.org/resource/Chamber_of_Deputies_of_the_Parliament_of_the_Czech_Republic', 14168, 'English'], ['In_the_Court_of_the_Crimson_King', 'http://dbpedia.org/resource/In_the_Court_of_the_Crimson_King', 35927, 'English'], ['President_of_the_European_Council', 'http://dbpedia.org/resource/President_of_the_European_Council', 13099, 'English'], ['Parliament_of_the_French_Community', 'http://dbpedia.org/resource/Parliament_of_the_French_Community', 30482, 'English'], ['President_of_the_Community_of_Madrid', 'http://dbpedia.org/resource/President_of_the_Community_of_Madrid', 33581, 'English'], ['Chairman_of_the_Joint_Chiefs_of_Staff', 'http://dbpedia.org/resource/Chairman_of_the_Joint_Chiefs_of_Staff', 18245, 'English'], ['President_of_the_European_Commission', 'http://dbpedia.org/resource/President_of_the_European_Commission', 16756, 'English'], ['Mary_of_Hungary_(governor_of_the_Netherlands)', 'http://dbpedia.org/resource/Mary_of_Hungary_(governor_of_the_Netherlands)', 19189, 'English'], ['General_Secretary_of_the_Communist_Party_of_China', 'http://dbpedia.org/resource/General_Secretary_of_the_Communist_Party_of_China', 19574, 'English'], ['President_of_the_Generalitat_of_Catalonia', 'http://dbpedia.org/resource/President_of_the_Generalitat_of_Catalonia', 38296, 'English'], ['Minister-President_of_the_Walloon_Region', 'http://dbpedia.org/resource/Minister-President_of_the_Walloon_Region', 15553, 'English'], ['Chancellor_of_Germany_(1949–)', 'http://dbpedia.org/resource/Chancellor_of_Germany_(1949–)', 15766, 'English']]",20
Unione_Sportiva_Città_di_Palermo,http://fr.dbpedia.org/resource/Unione_Sportiva_Città_di_Palermo,2997,French,uncertain,"[['U.S._Città_di_Palermo', 'http://dbpedia.org/resource/U.S._Città_di_Palermo', 13497, 'English'], ['Elio_Di_Rupo', 'http://dbpedia.org/resource/Elio_Di_Rupo', 35810, 'English'], ['Brescia_Calcio', 'http://dbpedia.org/resource/Brescia_Calcio', 15491, 'English'], ['Cagliari_Calcio', 'http://dbpedia.org/resource/Cagliari_Calcio', 37648, 'English'], ['Olimpia_Milano', 'http://dbpedia.org/resource/Olimpia_Milano', 16301, 'English'], ['Forza_Italia', 'http://dbpedia.org/resource/Forza_Italia', 39012, 'English'], ['Palermo', 'http://dbpedia.org/resource/Palermo', 18886, 'English'], ['Ob-La-Di,_Ob-La-Da', 'http://dbpedia.org/resource/Ob-La-Di,_Ob-La-Da', 38441, 'English'], ['Novara_Calcio', 'http://dbpedia.org/resource/Novara_Calcio', 14712, 'English'], ['Rete_Ferroviaria_Italiana', 'http://dbpedia.org/resource/Rete_Ferroviaria_Italiana', 31735, 'English'], ['A.C._Perugia_Calcio', 'http://dbpedia.org/resource/A.C._Perugia_Calcio', 18956, 'English'], ['Giovanni_Pico_della_Mirandola', 'http://dbpedia.org/resource/Giovanni_Pico_della_Mirandola', 14838, 'English'], ['Friuli-Venezia_Giulia', 'http://dbpedia.org/resource/Friuli-Venezia_Giulia', 12088, 'English'], ['Di_Rupo_Government', 'http://dbpedia.org/resource/Di_Rupo_Government', 12241, 'English'], ['Spezia_Calcio', 'http://dbpedia.org/resource/Spezia_Calcio', 32013, 'English'], ['Stadio_San_Paolo', 'http://dbpedia.org/resource/Stadio_San_Paolo', 14460, 'English'], ['Udinese_Calcio', 'http://dbpedia.org/resource/Udinese_Calcio', 14358, 'English'], ['Bergamo', 'http://dbpedia.org/resource/Bergamo', 31696, 'English'], ['S.S.D._Parma_Calcio_1913', 'http://dbpedia.org/resource/S.S.D._Parma_Calcio_1913', 39618, 'English'], ['La_Spezia', 'http://dbpedia.org/resource/La_Spezia', 31967, 'English']]",20
