index_name,index_id,category
Vitoria-Gasteiz,3617,place
Saint-Étienne-des-Grès,3627,place
Courtrai,3628,place
École_des_hautes_études_commerciales_de_Paris,3633,place
Rivière-Ouelle,3639,place
Tokyo,3640,place
Laurier-Dorion,3650,place
Haute-Savoie,3660,place
Val-d'Or,3667,place
Écublens_(Vaud),3670,place
Royaume_de_Portugal,3674,place
Aube_(département),3677,place
Université_de_Virginie,3678,place
Saint-Hubert-de-Rivière-du-Loup,3686,place
Confédération_de_l'Allemagne_du_Nord,3692,place
Waltenschwil,3694,place
Témiscouata-sur-le-Lac,3697,place
Bar-le-Duc,3703,place
Lac-Casault,3708,place
Saint-Ambroise-de-Kildare,3716,place
