index_name,index_id,index_language,candidates_str,num_candidates
Saint-Joseph-de-Coleraine,0,French,"[['Saint-Joseph-de-Coleraine,_Quebec', 'http://dbpedia.org/resource/Saint-Joseph-de-Coleraine,_Quebec', 10500, 'English'], ['Saint-Joseph-de-Beauce', 'http://dbpedia.org/resource/Saint-Joseph-de-Beauce', 33775, 'English'], ['Saint-Joseph-de-Lepage,_Quebec', 'http://dbpedia.org/resource/Saint-Joseph-de-Lepage,_Quebec', 36175, 'English'], ['Saint-Valérien-de-Milton,_Quebec', 'http://dbpedia.org/resource/Saint-Valérien-de-Milton,_Quebec', 17181, 'English'], ['Saint-Bernard-de-Michaudville,_Quebec', 'http://dbpedia.org/resource/Saint-Bernard-de-Michaudville,_Quebec', 20105, 'English'], ['Saint-Joseph-de-Kamouraska,_Quebec', 'http://dbpedia.org/resource/Saint-Joseph-de-Kamouraska,_Quebec', 32176, 'English'], ['Saint-Paul-de-Montminy,_Quebec', 'http://dbpedia.org/resource/Saint-Paul-de-Montminy,_Quebec', 11787, 'English'], ['Saint-Isidore-de-Clifton,_Quebec', 'http://dbpedia.org/resource/Saint-Isidore-de-Clifton,_Quebec', 38085, 'English'], ['Saint-Paul-de-la-Croix,_Quebec', 'http://dbpedia.org/resource/Saint-Paul-de-la-Croix,_Quebec', 37257, 'English'], ['Saint-Edmond-de-Grantham', 'http://dbpedia.org/resource/Saint-Edmond-de-Grantham', 33904, 'English'], ['Saint-Damien-de-Buckland,_Quebec', 'http://dbpedia.org/resource/Saint-Damien-de-Buckland,_Quebec', 13669, 'English'], ['Saint-Louis-de-Blandford,_Quebec', 'http://dbpedia.org/resource/Saint-Louis-de-Blandford,_Quebec', 15815, 'English'], ['Saint-Denis-De_La_Bouteillerie', 'http://dbpedia.org/resource/Saint-Denis-De_La_Bouteillerie', 32459, 'English'], ['Saint-Charles-de-Bellechasse,_Quebec', 'http://dbpedia.org/resource/Saint-Charles-de-Bellechasse,_Quebec', 35723, 'English'], ['Saint-Gabriel-de-Brandon,_Quebec', 'http://dbpedia.org/resource/Saint-Gabriel-de-Brandon,_Quebec', 13434, 'English'], ['Saint-Germain-de-Grantham', 'http://dbpedia.org/resource/Saint-Germain-de-Grantham', 15791, 'English'], [""Saint-Pierre-de-l'Île-d'Orléans"", ""http://dbpedia.org/resource/Saint-Pierre-de-l'Île-d'Orléans"", 17406, 'English'], ['Saint-Bruno-de-Montarville', 'http://dbpedia.org/resource/Saint-Bruno-de-Montarville', 37215, 'English'], ['Saint-Étienne-de-Bolton,_Quebec', 'http://dbpedia.org/resource/Saint-Étienne-de-Bolton,_Quebec', 31525, 'English'], [""Saint-Jean-de-l'Île-d'Orléans"", ""http://dbpedia.org/resource/Saint-Jean-de-l'Île-d'Orléans"", 11836, 'English']]",20
Self_Portrait,1,French,"[['Self_Portrait_(Bob_Dylan_album)', 'http://dbpedia.org/resource/Self_Portrait_(Bob_Dylan_album)', 10501, 'English'], ['A_Matter_of_Life_and_Death_(album)', 'http://dbpedia.org/resource/A_Matter_of_Life_and_Death_(album)', 36449, 'English'], ['More_Than_a_Woman_(album)', 'http://dbpedia.org/resource/More_Than_a_Woman_(album)', 11420, 'English'], ['God_Put_a_Smile_upon_Your_Face', 'http://dbpedia.org/resource/God_Put_a_Smile_upon_Your_Face', 18572, 'English'], ['In_My_Life', 'http://dbpedia.org/resource/In_My_Life', 33228, 'English'], ['Face_Value_(album)', 'http://dbpedia.org/resource/Face_Value_(album)', 15363, 'English'], ['Happiness_Is_a_Warm_Gun', 'http://dbpedia.org/resource/Happiness_Is_a_Warm_Gun', 33386, 'English'], ['Man_in_the_Mirror', 'http://dbpedia.org/resource/Man_in_the_Mirror', 19025, 'English'], ['My_Aim_Is_True', 'http://dbpedia.org/resource/My_Aim_Is_True', 17816, 'English'], ['The_Colour_of_My_Love', 'http://dbpedia.org/resource/The_Colour_of_My_Love', 39586, 'English'], ['The_Man_with_the_Child_in_His_Eyes', 'http://dbpedia.org/resource/The_Man_with_the_Child_in_His_Eyes', 33596, 'English'], ['Volume_One_(She_&_Him_album)', 'http://dbpedia.org/resource/Volume_One_(She_&_Him_album)', 20172, 'English'], [""I'm_Not_a_Girl,_Not_Yet_a_Woman"", ""http://dbpedia.org/resource/I'm_Not_a_Girl,_Not_Yet_a_Woman"", 20155, 'English'], ['Life_in_Cartoon_Motion', 'http://dbpedia.org/resource/Life_in_Cartoon_Motion', 20773, 'English'], ['Living_Colour', 'http://dbpedia.org/resource/Living_Colour', 13960, 'English'], ['Living_on_My_Own', 'http://dbpedia.org/resource/Living_on_My_Own', 30851, 'English'], ['Killing_Is_My_Business..._and_Business_Is_Good!', 'http://dbpedia.org/resource/Killing_Is_My_Business..._and_Business_Is_Good!', 34729, 'English'], ['Love_of_My_Life_(Queen_song)', 'http://dbpedia.org/resource/Love_of_My_Life_(Queen_song)', 14905, 'English'], ['The_Works_(Queen_album)', 'http://dbpedia.org/resource/The_Works_(Queen_album)', 20636, 'English'], ['A_Day_in_the_Life', 'http://dbpedia.org/resource/A_Day_in_the_Life', 11905, 'English']]",20
Alliance_des_libéraux_et_des_démocrates_pour_l'Europe,2,French,"[['Alliance_of_Liberals_and_Democrats_for_Europe_Group', 'http://dbpedia.org/resource/Alliance_of_Liberals_and_Democrats_for_Europe_Group', 20759, 'English'], ['Alliance_of_Liberals_and_Democrats_for_Europe_Party', 'http://dbpedia.org/resource/Alliance_of_Liberals_and_Democrats_for_Europe_Party', 10502, 'English'], ['Progressive_Alliance_of_Socialists_and_Democrats', 'http://dbpedia.org/resource/Progressive_Alliance_of_Socialists_and_Democrats', 18084, 'English'], ['Alliance_of_European_Conservatives_and_Reformists', 'http://dbpedia.org/resource/Alliance_of_European_Conservatives_and_Reformists', 16541, 'English'], ['Union_of_Democrats_for_the_Republic', 'http://dbpedia.org/resource/Union_of_Democrats_for_the_Republic', 13414, 'English'], ['Union_of_Democrats_and_Independents', 'http://dbpedia.org/resource/Union_of_Democrats_and_Independents', 15062, 'English'], ['Alliance_for_Direct_Democracy_in_Europe', 'http://dbpedia.org/resource/Alliance_for_Direct_Democracy_in_Europe', 33262, 'English'], ['Democratic_Forum_for_Labour_and_Liberties', 'http://dbpedia.org/resource/Democratic_Forum_for_Labour_and_Liberties', 34565, 'English'], ['Democrats_of_the_Left', 'http://dbpedia.org/resource/Democrats_of_the_Left', 17149, 'English'], ['Europe_of_Nations_and_Freedom', 'http://dbpedia.org/resource/Europe_of_Nations_and_Freedom', 15056, 'English'], ['Europe_of_Freedom_and_Direct_Democracy', 'http://dbpedia.org/resource/Europe_of_Freedom_and_Direct_Democracy', 11663, 'English'], ['Party_of_Progress_and_Socialism', 'http://dbpedia.org/resource/Party_of_Progress_and_Socialism', 32401, 'English'], ['Centre_of_Social_Democrats', 'http://dbpedia.org/resource/Centre_of_Social_Democrats', 16215, 'English'], [""People's_Party_for_Freedom_and_Democracy"", ""http://dbpedia.org/resource/People's_Party_for_Freedom_and_Democracy"", 35289, 'English'], ['Progressive_Party_of_Working_People', 'http://dbpedia.org/resource/Progressive_Party_of_Working_People', 34330, 'English'], ['National_Union_for_the_Progress_of_Romania', 'http://dbpedia.org/resource/National_Union_for_the_Progress_of_Romania', 14978, 'English'], ['Party_of_the_European_Left', 'http://dbpedia.org/resource/Party_of_the_European_Left', 18019, 'English'], ['Liberal_Party_of_Canada', 'http://dbpedia.org/resource/Liberal_Party_of_Canada', 14039, 'English'], ['Union_of_the_Democratic_Centre_(Spain)', 'http://dbpedia.org/resource/Union_of_the_Democratic_Centre_(Spain)', 15818, 'English'], ['Democratic_Party_of_the_Left', 'http://dbpedia.org/resource/Democratic_Party_of_the_Left', 16403, 'English']]",20
Wallon,3,French,"[['Walloon_language', 'http://dbpedia.org/resource/Walloon_language', 10503, 'English'], ['Wallonia', 'http://dbpedia.org/resource/Wallonia', 15732, 'English'], ['Namur,_Quebec', 'http://dbpedia.org/resource/Namur,_Quebec', 31027, 'English'], ['Liège', 'http://dbpedia.org/resource/Liège', 19403, 'English'], ['Lier,_Belgium', 'http://dbpedia.org/resource/Lier,_Belgium', 38929, 'English'], ['Flemish_Parliament', 'http://dbpedia.org/resource/Flemish_Parliament', 37146, 'English'], ['Kapellen,_Belgium', 'http://dbpedia.org/resource/Kapellen,_Belgium', 17630, 'English'], ['Neufchâteau,_Luxembourg_Province', 'http://dbpedia.org/resource/Neufchâteau,_Luxembourg_Province', 37749, 'English'], ['Belgium', 'http://dbpedia.org/resource/Belgium', 18646, 'English'], ['Beringen,_Belgium', 'http://dbpedia.org/resource/Beringen,_Belgium', 15044, 'English'], ['Vaud', 'http://dbpedia.org/resource/Vaud', 13211, 'English'], ['Lac-Moselle,_Quebec', 'http://dbpedia.org/resource/Lac-Moselle,_Quebec', 36299, 'English'], ['Étalle,_Belgium', 'http://dbpedia.org/resource/Étalle,_Belgium', 33388, 'English'], ['Auvergne-Rhône-Alpes', 'http://dbpedia.org/resource/Auvergne-Rhône-Alpes', 37772, 'English'], ['Écublens,_Vaud', 'http://dbpedia.org/resource/Écublens,_Vaud', 14170, 'English'], ['Aquitaine-Limousin-Poitou-Charentes', 'http://dbpedia.org/resource/Aquitaine-Limousin-Poitou-Charentes', 18962, 'English'], ['Épendes,_Vaud', 'http://dbpedia.org/resource/Épendes,_Vaud', 12759, 'English'], ['Colombier,_Vaud', 'http://dbpedia.org/resource/Colombier,_Vaud', 30993, 'English'], ['Namur', 'http://dbpedia.org/resource/Namur', 38105, 'English'], ['Lombardy', 'http://dbpedia.org/resource/Lombardy', 15364, 'English']]",20
Android,4,French,"[['Paranoid_Android', 'http://dbpedia.org/resource/Paranoid_Android', 33507, 'English'], ['IPhone', 'http://dbpedia.org/resource/IPhone', 15190, 'English'], ['Android_(operating_system)', 'http://dbpedia.org/resource/Android_(operating_system)', 10504, 'English'], ['App_Store_(iOS)', 'http://dbpedia.org/resource/App_Store_(iOS)', 19425, 'English'], ['IPad', 'http://dbpedia.org/resource/IPad', 38842, 'English'], ['IOS', 'http://dbpedia.org/resource/IOS', 37861, 'English'], ['Microsoft_Mobile', 'http://dbpedia.org/resource/Microsoft_Mobile', 32480, 'English'], ['Windows_10_Mobile', 'http://dbpedia.org/resource/Windows_10_Mobile', 32880, 'English'], ['Google', 'http://dbpedia.org/resource/Google', 19072, 'English'], ['Windows_Phone', 'http://dbpedia.org/resource/Windows_Phone', 11754, 'English'], ['Google_Play', 'http://dbpedia.org/resource/Google_Play', 33544, 'English'], ['Google_Chrome', 'http://dbpedia.org/resource/Google_Chrome', 13132, 'English'], ['Windows_Update', 'http://dbpedia.org/resource/Windows_Update', 16866, 'English'], ['Microsoft_Lumia', 'http://dbpedia.org/resource/Microsoft_Lumia', 19531, 'English'], ['Nokia', 'http://dbpedia.org/resource/Nokia', 32869, 'English'], ['IPad_Air', 'http://dbpedia.org/resource/IPad_Air', 20917, 'English'], ['Microsoft_Windows', 'http://dbpedia.org/resource/Microsoft_Windows', 35651, 'English'], ['Windows_Store', 'http://dbpedia.org/resource/Windows_Store', 32627, 'English'], ['Linux', 'http://dbpedia.org/resource/Linux', 31268, 'English'], ['Windows_7', 'http://dbpedia.org/resource/Windows_7', 30958, 'English']]",20
Part_II_(On_the_Run),5,French,"[['Part_II_(On_the_Run)', 'http://dbpedia.org/resource/Part_II_(On_the_Run)', 10505, 'English'], ['Band_on_the_Run', 'http://dbpedia.org/resource/Band_on_the_Run', 33153, 'English'], ['On_the_Third_Day', 'http://dbpedia.org/resource/On_the_Third_Day', 34216, 'English'], ['Man_on_the_Moon:_The_End_of_Day', 'http://dbpedia.org/resource/Man_on_the_Moon:_The_End_of_Day', 14763, 'English'], ['Blood_on_the_Dance_Floor:_HIStory_in_the_Mix', 'http://dbpedia.org/resource/Blood_on_the_Dance_Floor:_HIStory_in_the_Mix', 15416, 'English'], ['Keeper_of_the_Seven_Keys:_Part_II', 'http://dbpedia.org/resource/Keeper_of_the_Seven_Keys:_Part_II', 39575, 'English'], ['Band_on_the_Run_(song)', 'http://dbpedia.org/resource/Band_on_the_Run_(song)', 37859, 'English'], ['American_IV:_The_Man_Comes_Around', 'http://dbpedia.org/resource/American_IV:_The_Man_Comes_Around', 35598, 'English'], ['Wishing_on_the_Same_Star', 'http://dbpedia.org/resource/Wishing_on_the_Same_Star', 33598, 'English'], ['Set_the_Controls_for_the_Heart_of_the_Sun', 'http://dbpedia.org/resource/Set_the_Controls_for_the_Heart_of_the_Sun', 31357, 'English'], ['The_Head_on_the_Door', 'http://dbpedia.org/resource/The_Head_on_the_Door', 18914, 'English'], ['No_Line_on_the_Horizon', 'http://dbpedia.org/resource/No_Line_on_the_Horizon', 11204, 'English'], ['The_Day_the_World_Went_Away', 'http://dbpedia.org/resource/The_Day_the_World_Went_Away', 34020, 'English'], [""The_Writing's_on_the_Wall"", ""http://dbpedia.org/resource/The_Writing's_on_the_Wall"", 17209, 'English'], ['Set_the_Fire_to_the_Third_Bar', 'http://dbpedia.org/resource/Set_the_Fire_to_the_Third_Bar', 33791, 'English'], ['Around_the_World_in_a_Day', 'http://dbpedia.org/resource/Around_the_World_in_a_Day', 39033, 'English'], ['Another_Part_of_Me', 'http://dbpedia.org/resource/Another_Part_of_Me', 31129, 'English'], ['The_Show_Must_Go_On_(Pink_Floyd_song)', 'http://dbpedia.org/resource/The_Show_Must_Go_On_(Pink_Floyd_song)', 31378, 'English'], ['This_Is_the_Last_Time', 'http://dbpedia.org/resource/This_Is_the_Last_Time', 10602, 'English'], ['Run_to_the_Hills', 'http://dbpedia.org/resource/Run_to_the_Hills', 14507, 'English']]",20
Choix_civique_pour_l'Italie,6,French,"[['Alliance_for_Direct_Democracy_in_Europe', 'http://dbpedia.org/resource/Alliance_for_Direct_Democracy_in_Europe', 33262, 'English'], ['Civic_Choice', 'http://dbpedia.org/resource/Civic_Choice', 10506, 'English'], ['Populars_for_Italy', 'http://dbpedia.org/resource/Populars_for_Italy', 31141, 'English'], ['Union_for_the_New_Republic', 'http://dbpedia.org/resource/Union_for_the_New_Republic', 17954, 'English'], ['Organization_for_Security_and_Co-operation_in_Europe', 'http://dbpedia.org/resource/Organization_for_Security_and_Co-operation_in_Europe', 37417, 'English'], ['Rally_for_the_Republic', 'http://dbpedia.org/resource/Rally_for_the_Republic', 15847, 'English'], ['A_Great_Day_for_Freedom', 'http://dbpedia.org/resource/A_Great_Day_for_Freedom', 32190, 'English'], ['National_Union_for_the_Progress_of_Romania', 'http://dbpedia.org/resource/National_Union_for_the_Progress_of_Romania', 14978, 'English'], ['Union_for_a_Popular_Movement', 'http://dbpedia.org/resource/Union_for_a_Popular_Movement', 20976, 'English'], ['Alliance_of_Liberals_and_Democrats_for_Europe_Group', 'http://dbpedia.org/resource/Alliance_of_Liberals_and_Democrats_for_Europe_Group', 20759, 'English'], ['Alliance_of_Liberals_and_Democrats_for_Europe_Party', 'http://dbpedia.org/resource/Alliance_of_Liberals_and_Democrats_for_Europe_Party', 10502, 'English'], ['European_Commissioner_for_Economic_and_Monetary_Affairs_and_the_Euro', 'http://dbpedia.org/resource/European_Commissioner_for_Economic_and_Monetary_Affairs_and_the_Euro', 16150, 'English'], ['For_No_One', 'http://dbpedia.org/resource/For_No_One', 32718, 'English'], ['African_Party_for_the_Independence_of_Guinea_and_Cape_Verde', 'http://dbpedia.org/resource/African_Party_for_the_Independence_of_Guinea_and_Cape_Verde', 14251, 'English'], ['Union_of_Democrats_for_the_Republic', 'http://dbpedia.org/resource/Union_of_Democrats_for_the_Republic', 13414, 'English'], ['For_You_Blue', 'http://dbpedia.org/resource/For_You_Blue', 16467, 'English'], [""People's_Party_for_Freedom_and_Democracy"", ""http://dbpedia.org/resource/People's_Party_for_Freedom_and_Democracy"", 35289, 'English'], ['Europe_of_Freedom_and_Direct_Democracy', 'http://dbpedia.org/resource/Europe_of_Freedom_and_Direct_Democracy', 11663, 'English'], ['Stay_Together_for_the_Kids', 'http://dbpedia.org/resource/Stay_Together_for_the_Kids', 11562, 'English'], ['Together_for_Yes', 'http://dbpedia.org/resource/Together_for_Yes', 15002, 'English']]",20
Tommy_Jakobsen,7,French,"[['Tommy_Jakobsen', 'http://dbpedia.org/resource/Tommy_Jakobsen', 10507, 'English'], ['Tommy_Lee', 'http://dbpedia.org/resource/Tommy_Lee', 17261, 'English'], ['Tommy_Ramone', 'http://dbpedia.org/resource/Tommy_Ramone', 15924, 'English'], ['Tommy_(album)', 'http://dbpedia.org/resource/Tommy_(album)', 18297, 'English'], ['Tommy_heavenly6_(album)', 'http://dbpedia.org/resource/Tommy_heavenly6_(album)', 16197, 'English'], ['Erik_Cole', 'http://dbpedia.org/resource/Erik_Cole', 11319, 'English'], ['Frank_Jensen', 'http://dbpedia.org/resource/Frank_Jensen', 31202, 'English'], ['Erik_Christensen', 'http://dbpedia.org/resource/Erik_Christensen', 15153, 'English'], ['Derek_Roy', 'http://dbpedia.org/resource/Derek_Roy', 38781, 'English'], ['Billy_Joel', 'http://dbpedia.org/resource/Billy_Joel', 17755, 'English'], ['Bobby_Fischer', 'http://dbpedia.org/resource/Bobby_Fischer', 19677, 'English'], ['Bryan-Michael_Cox', 'http://dbpedia.org/resource/Bryan-Michael_Cox', 16008, 'English'], ['Robert_Nilsson', 'http://dbpedia.org/resource/Robert_Nilsson', 39550, 'English'], ['Greg_Daniels', 'http://dbpedia.org/resource/Greg_Daniels', 19066, 'English'], ['Ric_Lee', 'http://dbpedia.org/resource/Ric_Lee', 14024, 'English'], ['Bob_Riley', 'http://dbpedia.org/resource/Bob_Riley', 37568, 'English'], ['Frank_Murphy', 'http://dbpedia.org/resource/Frank_Murphy', 39221, 'English'], ['Andy_Thomas', 'http://dbpedia.org/resource/Andy_Thomas', 35920, 'English'], ['Benny_Andersson', 'http://dbpedia.org/resource/Benny_Andersson', 13910, 'English'], ['Michael_Poulsen', 'http://dbpedia.org/resource/Michael_Poulsen', 39078, 'English']]",20
Expédition_46_(ISS),8,French,"[['Expedition_46', 'http://dbpedia.org/resource/Expedition_46', 10508, 'English'], ['Expedition_33', 'http://dbpedia.org/resource/Expedition_33', 17678, 'English'], ['Expedition_43', 'http://dbpedia.org/resource/Expedition_43', 18127, 'English'], ['Expedition_38', 'http://dbpedia.org/resource/Expedition_38', 11563, 'English'], ['Expedition_37', 'http://dbpedia.org/resource/Expedition_37', 16077, 'English'], ['Expedition_34', 'http://dbpedia.org/resource/Expedition_34', 13596, 'English'], ['Expedition_41', 'http://dbpedia.org/resource/Expedition_41', 38528, 'English'], ['Expedition_42', 'http://dbpedia.org/resource/Expedition_42', 20275, 'English'], ['Expedition_32', 'http://dbpedia.org/resource/Expedition_32', 38966, 'English'], ['Expedition_44', 'http://dbpedia.org/resource/Expedition_44', 18396, 'English'], ['Expedition_35', 'http://dbpedia.org/resource/Expedition_35', 15138, 'English'], ['Expedition_45', 'http://dbpedia.org/resource/Expedition_45', 17441, 'English'], ['Expedition_40', 'http://dbpedia.org/resource/Expedition_40', 35247, 'English'], ['Expedition_31', 'http://dbpedia.org/resource/Expedition_31', 10979, 'English'], ['Expedition_23', 'http://dbpedia.org/resource/Expedition_23', 37467, 'English'], ['Expedition_28', 'http://dbpedia.org/resource/Expedition_28', 12056, 'English'], ['Expedition_29', 'http://dbpedia.org/resource/Expedition_29', 30465, 'English'], ['Expedition_27', 'http://dbpedia.org/resource/Expedition_27', 18512, 'English'], ['Expedition_17', 'http://dbpedia.org/resource/Expedition_17', 18653, 'English'], ['Expedition_26', 'http://dbpedia.org/resource/Expedition_26', 37811, 'English']]",20
Sugababes,9,French,"[['Sugababes', 'http://dbpedia.org/resource/Sugababes', 10509, 'English'], ['Denial_(Sugababes_song)', 'http://dbpedia.org/resource/Denial_(Sugababes_song)', 32849, 'English'], ['Change_(Sugababes_album)', 'http://dbpedia.org/resource/Change_(Sugababes_album)', 19186, 'English'], ['Change_(Sugababes_song)', 'http://dbpedia.org/resource/Change_(Sugababes_song)', 31727, 'English'], ['Kylie_Minogue', 'http://dbpedia.org/resource/Kylie_Minogue', 34774, 'English'], ['Lostprophets', 'http://dbpedia.org/resource/Lostprophets', 18257, 'English'], ['Mutya_Buena', 'http://dbpedia.org/resource/Mutya_Buena', 35546, 'English'], ['Goldfrapp', 'http://dbpedia.org/resource/Goldfrapp', 10982, 'English'], ['INXS', 'http://dbpedia.org/resource/INXS', 39437, 'English'], ['Fergie_(singer)', 'http://dbpedia.org/resource/Fergie_(singer)', 20824, 'English'], ['Unbroken_(Demi_Lovato_album)', 'http://dbpedia.org/resource/Unbroken_(Demi_Lovato_album)', 11726, 'English'], ['Fever_(Kylie_Minogue_album)', 'http://dbpedia.org/resource/Fever_(Kylie_Minogue_album)', 17599, 'English'], ['X_(Kylie_Minogue_album)', 'http://dbpedia.org/resource/X_(Kylie_Minogue_album)', 37464, 'English'], ['Coldplay', 'http://dbpedia.org/resource/Coldplay', 13873, 'English'], ['Demi_Lovato', 'http://dbpedia.org/resource/Demi_Lovato', 14635, 'English'], ['Girls_Aloud', 'http://dbpedia.org/resource/Girls_Aloud', 37716, 'English'], ['Ultravox', 'http://dbpedia.org/resource/Ultravox', 15898, 'English'], ['Leona_Aglukkaq', 'http://dbpedia.org/resource/Leona_Aglukkaq', 32697, 'English'], ['Avril_Lavigne_(album)', 'http://dbpedia.org/resource/Avril_Lavigne_(album)', 36216, 'English'], ['OneRepublic', 'http://dbpedia.org/resource/OneRepublic', 13265, 'English']]",20
