entity_name,entity_uri,entity_id,entity_language,entity_category,timestamp
Self_Portrait,http://fr.dbpedia.org/resource/Self_Portrait,1,French,Creative Work,2025-06-19 16:29:21
I_Feel_for_You_(chanson),http://fr.dbpedia.org/resource/I_Feel_for_You_(chanson),11,French,Creative Work,2025-06-19 16:30:01
All_Hope_Is_Gone,http://fr.dbpedia.org/resource/All_Hope_Is_Gone,12,French,Creative Work,2025-06-19 16:30:05
Country_rock,http://fr.dbpedia.org/resource/Country_rock,20,French,Creative Work,2025-06-19 16:30:37
Darkthrone,http://fr.dbpedia.org/resource/Darkthrone,31,French,Creative Work,2025-06-19 16:31:21
Where_Is_My_Mind%3F,http://fr.dbpedia.org/resource/Where_Is_My_Mind%3F,39,French,Creative Work,2025-06-19 16:31:53
Pop_psychédélique,http://fr.dbpedia.org/resource/Pop_psychédélique,42,French,Creative Work,2025-06-19 16:32:05
A_Question_of_Lust,http://fr.dbpedia.org/resource/A_Question_of_Lust,45,French,Creative Work,2025-06-19 16:32:18
Party_Sequence,http://fr.dbpedia.org/resource/Party_Sequence,56,French,Creative Work,2025-06-19 16:33:02
Point_de_suture_(album),http://fr.dbpedia.org/resource/Point_de_suture_(album),60,French,Creative Work,2025-06-19 16:33:19
Garage_rock,http://fr.dbpedia.org/resource/Garage_rock,88,French,Creative Work,2025-06-19 16:35:21
Roots_rock,http://fr.dbpedia.org/resource/Roots_rock,90,French,Creative Work,2025-06-19 16:35:31
This_Is_the_Last_Time,http://fr.dbpedia.org/resource/This_Is_the_Last_Time,102,French,Creative Work,2025-06-19 16:36:19
Thrashcore,http://fr.dbpedia.org/resource/Thrashcore,105,French,Creative Work,2025-06-19 16:36:31
Cry_of_Achilles,http://fr.dbpedia.org/resource/Cry_of_Achilles,113,French,Creative Work,2025-06-19 16:37:06
The_Last_Time,http://fr.dbpedia.org/resource/The_Last_Time,116,French,Creative Work,2025-06-19 16:37:18
A_Momentary_Lapse_of_Reason,http://fr.dbpedia.org/resource/A_Momentary_Lapse_of_Reason,127,French,Creative Work,2025-06-19 16:38:08
This_Picture,http://fr.dbpedia.org/resource/This_Picture,128,French,Creative Work,2025-06-19 16:38:12
MTV_Unplugged_(EP_de_Mariah_Carey),http://fr.dbpedia.org/resource/MTV_Unplugged_(EP_de_Mariah_Carey),129,French,Creative Work,2025-06-19 16:38:17
Pet_Sounds,http://fr.dbpedia.org/resource/Pet_Sounds,130,French,Creative Work,2025-06-19 16:38:21
